Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
臖,24572,xìng,,,,,,,,,,,,,,,,,,,,,,,,,
臗,24573,,,,,,,こん,,,,,,,,,,,,,,,,,,,
臘,24574,là,laap6,,lab6,la̍p,,ろう,ろう,ろう,hangeul=[[랍]]>[[납]]|eumhun=|rv=rap>nap|mr=rap>nap|y=lap>nap,,,,,,,,,,,,,,,,
臚,24576,lú,lou4,,,,,りょ,,,hangeul=[[려]]>[[여]]|eumhun=|rv=ryeo>yeo|mr=ryŏ>yŏ|y=lye>ye,,,,,,,,,,,,,,,,
臛,24577,huò,fok3,,,,,かく,,,,,,,,,,,,,,,,,,,
臝,24579,,,,,,,ら,,,hangeul=[[라]]>[[나]]|eumhun=|rv=ra>na|mr=ra>na|y=la>na,,,,,,,,,,,,,,,,
臞,24582,,,,,,,く,,,,,,,,,,,,,,,,,,,
臠,24584,luān,lyun4,,,,,れん,,,hangeul=[[련]]>[[연]]|eumhun=|rv=ryeon>yeon|mr=ryŏn>yŏn|y=lyen>yen,,,,,,,,,,,,,,,,
臡,24585,,,,,,,でい,,,,,,,,,,,,,,,,,,,
臣,24587,chén,san4,sṳ̀n,,sîn,3zen,じん,じん,しん,hangeul=신|eumhun=,,,,,,,,,,,,,,,,
臤,24588,qiān,haan1,,,,,かん,,,hangeul=간|eumhun=|rv=gan|mr=kan|y=kan,,,,,,,,,,,,,,,,
臥,24589,wò,ngo6,ngo,,,3ngu,が,が,が,hangeul=와,,,,,,,,,,,,,,,,
臦,24590,guàng,gwong3,,,,,,,,,,,,,,,,,,,,,,,,
臧,24591,zāng,zong1,,,,,ぞう,,,장,,,,,,,,,,,,,,,,
臨,24592,lín,lam4,lìm,lim2,lîm,3lin,りん,りん,りん,hangeul=[[림]]>[[임]]|eumhun=|rv=rim>im|mr=rim>im|y=lim>im,,,,,,,,,,,,,,,,
臩,24593,guàng,gwing2,,,,,,,,,,,,,,,,,,,,,,,,
自,24594,zì,zi6,chhṳ,ci4,,3zr,じ,じ,し,hangeul=자|eumhun=스스로|mr=cha|y=ca,,,,,,,,,,,,,,,,
臬,24596,niè,jit6,,,,,,,,얼,,,,,,,,,,,,,,,,
臮,24598,jì,,,,,,,,,,,,,,,,,,,,,,,,,
臯,24599,,,,,,,こう,,,,,,,,,,,,,,,,,,,
臱,24601,mián,min4,,,,,べん,,,,,,,,,,,,,,,,,,,
臲,24602,niè,jit6,,,,,げつ,,,,,,,,,,,,,,,,,,,
至,24603,zhì,zi3,chì,,chì,2tsr,し,し,し,hangeul=지|eumhun=|rv=ji|mr=chi|y=ci,,,,,,,,,,,,,,,,
致,24604,zhì,zi3,chṳ,,tì,,ち,ち,ち,치,,,,,,,,,,,,,,,,
臶,24606,,,,,,,せん,,,hangeul=천|eumhun=|rv=cheon|mr=ch'ŏn|y=chen,,,,,,,,,,,,,,,,
臸,24608,zhì,,,,,,じつ,,,,,,,,,,,,,,,,,,,
臺,24610,tái,toi4,thòi,,tâi,3de,だい,だい,たい,hangeul=[[대]]|eumhun=|rv=dae|mr=tae|y=tay,,,,,,,,,,,,,,,,
臻,24611,zhēn,zeon1,,,chin,,しん,しん,しん,hangeul=진|eumhun=|rv=jin|mr=chin|y=cin,,,,,,,,,,,,,,,,
臼,24612,jiù,kau3,khiu,,ǔ,,ぐ,ぐ,きゅう,구,,,,,,,,,,,,,,,,
臽,24613,xiàn,haam6,,,,,かん,,,hangeul=함|rv=ham|mr=ham,,,,,,,,,,,,,,,,
臾,24614,yǒng,jung5,,,,,ゆ,,,hangeul=유|eumhun=|rv=yu|mr=yu|y=yu,,,,,,,,,,,,,,,,
臿,24619,chā,caap3,,,chhap,,そう,,,hangeul=삽|rv=sap|mr=sap,,,,,,,,,,,,,,,,
舀,24620,yǎo,jiu5,yéu,,iáu,,よう,,,hangeul=요|eumhun=|rv=yo|mr=yo|y=yo,,,,,,,,,,,,,,,,
舁,24621,yú,jyu4,,,kú,,よ|kun=かく|nanori=}},,,hangeul=여|eumhun=|rv=yeo|mr=yŏ|y=ye,,,,,,,,,,,,,,,,
舂,24622,chōng,zung1,chûng,,cheng,,しゅ,しゅ,しょう,hangeul=[[용]], [[송]], [[창]]|eumhun=|rv=yong, song, chang|mr=yong, song, ch'ang|y=yong, song, chang,,,,,,,,
舄,24624,què,,,,,,しゃく,,,hangeul=석|eumhun=|rv=seok|mr=sŏk|y=sek,,,,,,,,,,,,,,,,
舅,24625,jiù,kau5,khiû,kiu1,,3jjieu,きゅう,,,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
與,24627,yǔ,jyu5,yî,,í,3hhy,よ,よ,よ,hangeul=[[여]]|eumhun=|rv=yeo|mr=yŏ|y=ye,,,,,,,,,,,,,,,,
興,24628,xīng,hing1,hîn,hin1,heng,1xin,こう,こう,きょう,hangeul=흥|eumhun=|rv=heung|mr=hŭng|y=hung,,,,,,,,,,,,,,,,
舉,24629,jǔ,geoi2,kí,gi3,,,きょ,,,,,,,,,,,,,,,,,,,
舊,24630,jiù,gau6,khiu,,kū,3jjieu,ぐ,ぐ,きゅう,hangeul=구|eumhun=,,,,,,,,,,,,,,,,
舋,24631,,,,,,,,,,,,,,,,,,,,,,,,,,
舌,24632,shé,sit3,sa̍t,sad6,chi̍h,5zeq,ぜち,ぜち,ぜつ,hangeul=설|eumhun=|mr=sŏl|y=sel,,,,,,,,,,,,,,,,
舍,24633,shè,se3,,,sià,,しゃ,しゃ,しゃ,hangeul=사|eumhun=|rv=sa|mr=sa|y=sa,,,,,,,,,,,,,,,,
舐,24636,shì,saai5,sê,,,,し,,,지,,,,,,,,,,,,,,,,
舑,24637,tān,taan1,,,,,,,,,,,,,,,,,,,,,,,,
舒,24638,shū,syu1,,,so͘,1sr,しょ,しょ,しょ,hangeul=서|eumhun=|rv=seo|mr=sŏ|y=se,,,,,,,,,,,,,,,,
舓,24639,,,,,,,し,,,,,,,,,,,,,,,,,,,
舕,24642,dàn,,,,,,,,,,,,,,,,,,,,,,,,,
舚,24647,tān,,,,,,てん,,,,,,,,,,,,,,,,,,,
舛,24648,chuǎn,cyun2,,,chhoán,,せん,せん,せん,hangeul=천|eumhun=|rv=cheon|mr=ch'ŏn|y=chen,,,,,,,,,,,,,,,,
舜,24650,shùn,seon3,,,,,しゅん,,,hangeul=순|eumhun=|rv=sun|mr=sun|y=swun,,,,,,,,,,,,,,,,
舝,24651,xiá,hat6,,,,,かつ,,,,,,,,,,,,,,,,,,,
舞,24652,wǔ,mou5,vú,vu3,bú,3vu,む,む,ぶ,hangeul=[[무]]|eumhun=|rv=mu|mr=mu|y=mu,,,,,,,,,,,,,,,,
舟,24653,zhōu,zau1,chû,,chiu,1tseu,しゅ,しゅ,しゅう,hangeul=주|eumhun=|rv=ju|mr=chu|y=cwu,,,,,,,,,,,,,,,,
舠,24654,dāo,dou1,,,,,,,,,,,,,,,,,,,,,,,,
舡,24655,gāng,gong1,,,,,こう,,,hangeul=강|eumhun=|rv=gang|mr=kang|y=kang,,,,,,,,,,,,,,,,
舥,24659,pā,paa1,,,,,,,,,,,,,,,,,,,,,,,,
舩,24663,,,,,,,せん,,,,,,,,,,,,,,,,,,,
航,24664,háng,hong4,,,hâng,3hhaan,ごう,ごう,こう,hangeul=[[항]]|eumhun=|rv=hang|mr=hang|y=hang,,,,,,,,,,,,,,,,
舫,24665,fǎng,fong2,,,hong,,ほう,ほう,ほう,방,,,,,,,,,,,,,,,,
般,24666,bān,bun1,,,poaⁿ,1pe,ばん,ばん,はん,hangeul=반|eumhun=|rv=ban|mr=pan|y=pan,,,,,,,,,,,,,,,,
舲,24672,,,,,,,れい,,,hangeul=[[령]]>[[영]]|eumhun=|rv=ryeong>yeong|mr=ryŏng>yŏng|y=lyeng>yeng,,,,,,,,,,,,,,,,
舳,24673,zhú,zuk6,,,,,じく,じく,ちく,hangeul=축|eumhun=|rv=chuk|mr=ch'uk|y=chwuk,,,,,,,,,,,,,,,,
舴,24674,zé,zaak3,,,,,たく,,,,,,,,,,,,,,,,,,,
舵,24675,duò,to4,,,tǒ,,だ,だ,た,타,,,,,,,,,,,,,,,,
舶,24676,bó,bok6,,,pia̍k,,びゃく,びゃく,はく,hangeul=박|eumhun=|rv=bak|mr=pak|y=pak,,,,,,,,,,,,,,,,
舷,24677,xián,jin4,,,hiân,,げん,げん,けん,hangeul=현|eumhun=|rv=hyeon|mr=hyŏn|y=hyen,,,,,,,,,,,,,,,,
舸,24678,gě,go2,,,,,か,,,hangeul=가|eumhun=|rv=ga|mr=ka|y=ka,,,,,,,,,,,,,,,,
船,24679,chuán,syun4,sòn,,chûn,3zoe,ぜん,ぜん,せん,hangeul=선,,,,,,,,,,,,,,,,
舼,24682,,,,,,,,,,,,,,,,,,,,,,,,,,
舽,24683,,,,,,,,,,hangeul=방|eumhun=|rv=bang|mr=pang|y=pang,,,,,,,,,,,,,,,,
艀,24686,,,,,,,ふ,,,hangeul=부|eumhun=|rv=bu|mr=pu|y=pu,,,,,,,,,,,,,,,,
艁,24687,,,,,,,,,,,,,,,,,,,,,,,,,,
艃,24689,lí,,,,,,り,り,り,,,,,,,,,,,,,,,,,
艅,24691,yú,jyu4,,,,,よ,よ,よ,hangeul=여|eumhun=|rv=yeo|mr=yŏ|y=ye,,,,,,,,,,,,,,,,
艆,24692,,,,,,,ろう,,,,,,,,,,,,,,,,,,,
艇,24693,tǐng,ting5,,,théng,,てい,,,정,,,,,,,,,,,,,,,,
艋,24697,měng,maang5,,,,,もう,,,,,,,,,,,,,,,,,,,
艎,24700,huáng,wong4,,,,,こう,,,,,,,,,,,,,,,,,,,
艐,24702,kè,zung1,,,,,,,,,,,,,,,,,,,,,,,,
艑,24703,,,,,,,へん,,,hangeul=편|eumhun=|rv=pyeon|mr=p'yŏn|y=phyen,,,,,,,,,,,,,,,,
艒,24704,,,,,,,,,,,,,,,,,,,,,,,,,,
艖,24708,,,,,,,さ,,,,,,,,,,,,,,,,,,,
艗,24709,yì,jik6,,,,,,,,,,,,,,,,,,,,,,,,
艚,24712,cáo,cou4,,,,,ぞう,ぞう,そう,조,,,,,,,,,,,,,,,,
艛,24713,lóu,lau4,,,,,,,,,,,,,,,,,,,,,,,,
艜,24714,,,,,,,たい,,,,,,,,,,,,,,,,,,,
艞,24716,yào,tiu1,,,,,,,,,,,,,,,,,,,,,,,,
艟,24717,chōng,cung1,,,,,しゅ,しゅ,しょう,hangeul=동|eumhun=|rv=dong|mr=tong|y=tong,,,,,,,,,,,,,,,,
艣,24721,,,,,,,ろ,,,,,,,,,,,,,,,,,,,
艤,24722,yǐ,ngai5,,,gí,,ぎ,,,의,,,,,,,,,,,,,,,,
艦,24724,jiàn,laam6,kam,gam4,lām,2khe,げん,げん,かん,hangeul=함|eumhun=|rv=ham|mr=ham|y=ham,,,,,,,,,,,,,,,,
艨,24726,méng,mung4,,,,,む,む,ぼう,hangeul=몽|eumhun=|rv=mong|mr=mong|y=mong,,,,,,,,,,,,,,,,
艫,24729,lú,lou4,,,,,る,る,ろ,hangeul=[[로]]>[[노]]|eumhun=|rv=ro>no|mr=ro>no|y=lo>no,,,,,,,,,,,,,,,,
艬,24730,,,,,,,,,,,,,,,,,,,,,,,,,,
艭,24731,,,,,,,そう,,,,,,,,,,,,,,,,,,,
艮,24732,gèn,gan3,ken,,,,こん,こん,こん,간,,,,,,,,,,,,,,,,
良,24733,liáng,loeng4,liòng,,,,ろう,ろう,りょう,,,,,,,,,,,,,,,,,
艱,24735,jiān,gaan1,,,kan,,けん,けん,かん,hangeul=간|eumhun=|rv=gan|mr=kan|y=kan,,,,,,,,,,,,,,,,
色,24736,sè,sik1,set,,,4seq,しき,しき,しょく,빛|색,,,,,,,,,,,,,,,,
艴,24738,fú,fat1,,,,,ほつ,,,hangeul=불|eumhun=,,,,,,,,,,,,,,,,
艵,24739,,,,,,,,,,,,,,,,,,,,,,,,,,
艶,24740,,,,,,,えん,えん,えん,hangeul=염|eumhun=|rv=yeom|mr=yŏm|y=yem,,,,,,,,,,,,,,,,
艸,24742,,,,,,,そう,,,hangeul=초|eumhun=|rv=cho|mr=ch'o|y=cho,,,,,,,,,,,,,,,,
艻,24745,lè,,,,,,ろく,,,hangeul=[[륵]]>[[늑]]|eumhun=|rv=reuk>neuk|mr=rŭk>nŭk|y=luk>nuk,,,,,,,,,,,,,,,,
艼,24746,tīng,,,,,,,,,,,,,,,,,,,,,,,,,
艽,24747,jiāo,gaau1,,,,,きゅう,,,,,,,,,,,,,,,,,,,
艾,24748,ài,ngaai6,ngie,,hiāⁿ,3nge,がい,がい,がい,hangeul=[[애]], [[예]]|eumhun=|rv=ae, ye|mr=ae, ye|y=ay, yey,,,,,,,,,,,,
艿,24749,réng,jing4,,,,,じょう,,,,,,,,,,,,,,,,,,,
芀,24750,,,,,,,しょう,,,,,,,,,,,,,,,,,,,
芁,24751,,,,,,,こう,,,,,,,,,,,,,,,,,,,
芃,24753,,,,,,,ほう,,,,,,,,,,,,,,,,,,,
芄,24754,wán,jyun4,,,,,かん,,,,,,,,,,,,,,,,,,,
芅,24755,yì,jik6,,,,,,,,,,,,,,,,,,,,,,,,
芆,24756,chāi,,,,,,,,,,,,,,,,,,,,,,,,,
芇,24757,mián,min4,,,,,まん,まん,ばん,,,,,,,,,,,,,,,,,
芊,24760,qiān,cin1,,,,,せん,,,hangeul=천|eumhun=|rv=cheon|mr=ch'ŏn|y=chen,,,,,,,,,,,,,,,,
芋,24761,yù,wu6,vu,vu4,,3hhy,う,,,hangeul=[[우]], [[후]]|eumhun=[[토란]], [[크다|클]]|rv=u, hu|mr=u, hu|y=wu, hwu|ehrv=toran, keul|ehmr=t'oran, k'ŭl|ehy=tholan, khul,,,,,,,,
芍,24763,sháo,zoek3,so̍k,,,,しゃく,,,hangeul=[[작]], [[적]]|eumhun=|rv=jak, jeok|mr=chak, chŏk|y=cak, cek,,,,,,,,,,,,
芎,24764,xiōng,,kiûng,,kiong,,きゅう,,,hangeul=궁|eumhun=|rv=gung|mr=kung|y=kwung,,,,,,,,,,,,,,,,
芏,24765,tǔ,dou6,,,,,,,,,,,,,,,,,,,,,,,,
芐,24766,hù,,,,,,,,,,,,,,,,,,,,,,,,,
芑,24767,qǐ,gei2,,,,,き,き,き,,,,,,,,,,,,,,,,,
芒,24768,máng,mong4,,,bông,,もう,もう,ぼう,hangeul=망|eumhun=|rv=mang|mr=mang|y=mang,,,,,,,,,,,,,,,,
芓,24769,zì,,,,,,,,,,,,,,,,,,,,,,,,,
芔,24770,,,,,,,き,,,hangeul=훼|eumhun=|rv=hwe|mr=hwe|y=hwey,,,,,,,,,,,,,,,,
芘,24774,pí,pei4,,,,,ひ,,,hangeul=비|eumhun=|rv=bi|mr=pi|y=pi,,,,,,,,,,,,,,,,
芙,24775,fú,fu4,,,hû,,ぶ,ぶ,ふ,hangeul=부|eumhun=|rv=bu|mr=pu|y=pu,,,,,,,,,,,,,,,,
芚,24776,tún,ceon1,,,thun,,とん,,,hangeul=둔|eumhun=|rv=dun|mr=tun|y=twun,,,,,,,,,,,,,,,,
芛,24777,,,,,,,い,,,,,,,,,,,,,,,,,,,
芝,24779,zhī,zi1,,,,,し,し,し,hangeul=지|eumhun=|rv=ji|mr=chi|y=ci,,,,,,,,,,,,,,,,
芟,24781,shān,saam1,,,,,さん,,,hangeul=삼|eumhun=|rv=sam|mr=sam|y=sam,,,,,,,,,,,,,,,,
芡,24783,qiàn,him3,,,iàm,,げん,げん,けん,hangeul=검|eumhun=|rv=geom|mr=kŏm|y=kem,,,,,,,,,,,,,,,,
芥,24787,jiè,gaai3,,,kài,,け,け,かい,hangeul=개|eumhun=|rv=gae|mr=kae|y=kay,,,,,,,,,,,,,,,,
芧,24789,xù,zeoi6,,,,,ちょ,,,hangeul=서|eumhun=|rv=seo|mr=sŏ|y=se,,,,,,,,,,,,,,,,
芨,24790,,,,,,,きゅう,,,hangeul=급|eumhun=|rv=geup|mr=kŭp|y=kup,,,,,,,,,,,,,,,,
芩,24791,qín,kam4,,,,,ごん,ごん,きん,hangeul=금|eumhun=|rv=geum|mr=kŭm|y=kum,,,,,,,,,,,,,,,,
芪,24792,qí,,,,,,ぎ,ぎ,き,hangeul=기|eumhun=|rv=gi|mr=ki|y=ki,,,,,,,,,,,,,,,,
芫,24793,yuán,jyun4,,,goân,3nyyoe,げん,,,hangeul=원|eumhun=|rv=won|mr=wŏn|y=wen,,,,,,,,,,,,,,,,
芬,24794,fēn,fan1,,,hun,,ふん,,,hangeul=분|eumhun=|rv=bun|mr=pun|y=pun,,,,,,,,,,,,,,,,
芭,24795,bā,baa1,,,pa,,へ,へ,は,hangeul=파|eumhun=|rv=pa|mr=p'a|y=pha,,,,,,,,,,,,,,,,
芮,24796,ruì,jeoi6,,,jōe,,ぜい,,,hangeul=예|eumhun=|rv=ye|mr=ye|y=yey,,,,,,,,,,,,,,,,
芰,24798,jì,gei6,,,,,ぎ,ぎ,き,hangeul=기|eumhun=|rv=gi|mr=ki|y=ki,,,,,,,,,,,,,,,,
花,24799,huā,faa1,fâ,,hoe,1ho,け,け,か,,,,,,,,,,,,,,,,,
芳,24801,fāng,fong1,fông,,ang,,ほう,ほう,ほう,hangeul=방|eumhun=|rv=bang|mr=pang|y=pang,,,,,,,,,,,,,,,,
芴,24802,wù,mat6,,,,,もつ,もつ,ぶつ,,,,,,,,,,,,,,,,,
芵,24803,jué,kyut3,,,,,,,,,,,,,,,,,,,,,,,,
芷,24805,zhǐ,zi2,,,chí,,し,し,し,지,,,,,,,,,,,,,,,,
芸,24806,yún,wan4,,,,3hhyn,げい,げい,げい,hangeul=[[운]]|eumhun=|rv=un|mr=un|y=wun,,,,,,,,,,,,,,,,
芹,24807,qín,kan4,,,,,ごん,ごん,きん,hangeul=근|eumhun=|rv=geun|mr=kŭn|y=kun,,,,,,,,,,,,,,,,
芺,24808,ǎo,ou3,,,,,おう,,,,,,,,,,,,,,,,,,,
芻,24809,chú,co1,,,cho͘,,しゅ,しゅ,す,추,,,,,,,,,,,,,,,,
芼,24810,mào,mou4,,,,,ぼう,,,hangeul=모|eumhun=|rv=mo|mr=mo|y=mo,,,,,,,,,,,,,,,,
芽,24811,yá,ngaa4,ngà,,,,げ,げ,が,hangeul=아|eumhun=|rv=a|mr=a|y=a,,,,,,,,,,,,,,,,
芾,24812,fěi,fai3,,,,,ひ,,,hangeul=비|eumhun=|rv=bi|mr=pi|y=pi,,,,,,,,,,,,,,,,
芿,24813,rèng,jing4,,,,,じょう,,,잉,,,,,,,,,,,,,,,,
苀,24814,háng,,,,,,,,,,,,,,,,,,,,,,,,,
苑,24831,yuàn,jyun2,,,,,えん,,,hangeul=원|eumhun=|rv=won|mr=wŏn|y=wen,,,,,,,,,,,,,,,,
苒,24832,rǎn,jim5,,,liám,,ぜん,,,hangeul=[[염]]|eumhun=|rv=yeom|mr=yŏm|y=yem,,,,,,,,,,,,,,,,
苓,24833,líng,ling4,,,,,りょう,りょう,れい,hangeul=[[령]]>[[영]]|eumhun=|rv=ryeong>yeong|mr=ryŏng>yŏng|y=lyeng>yeng,,,,,,,,,,,,,,,,
苕,24835,tiáo,tiu4,,,,,ちょう,,,hangeul=초|eumhun=|rv=cho|mr=ch'o|y=cho,,,,,,,,,,,,,,,,
苖,24836,dǐ,,,,,,,,,,,,,,,,,,,,,,,,,
苗,24837,miáo,miu4,mèu,,biâu,3miau,みょう,みょう,びょう,hangeul=묘|eumhun=|rv=myo|mr=myo|y=myo,,,,,,,,,,,,,,,,
苘,24838,,,,,,,,,,,,,,,,,,,,,,,,,,
苙,24839,lì,lap1,,,,,ごう,ごう,きゅう,,,,,,,,,,,,,,,,,
苛,24841,kē,ho1,,,o͘,,が,が,か,hangeul=가|eumhun=|rv=ga|mr=ka|y=ka,,,,,,,,,,,,,,,,
苜,24842,mù,muk6,,,,,もく,もく,ぼく,hangeul=목|eumhun=|rv=mok|mr=mok|y=mok,,,,,,,,,,,,,,,,
苝,24843,bèi,,,,,,,,,,,,,,,,,,,,,,,,,
苞,24844,bāo,baau1,,,,1pau,ひょう,ひょう,ほう,hangeul=포|eumhun=|rv=po|mr=p'o|y=pho,,,,,,,,,,,,,,,,
苟,24845,gǒu,gau2,,,kió,,く,く,こう,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
苡,24847,yǐ,ji5,,,,,い,,,hangeul=이|eumhun=|rv=i|mr=i|y=i,,,,,,,,,,,,,,,,
苢,24848,yǐ,,,,,,い,,,,,,,,,,,,,,,,,,,
苣,24849,jù,geoi6,,,,,きょ|goon=ご|kun=ちさ,ご|kun=ちさ,きょ|goon=ご|kun=ちさ,hangeul=거|eumhun=|rv=geo|mr=kŏ|y=ke,,,,,,,,,,,,,,,,
若,24851,ruò,joek6,na,,ná,5zaq,にゃく,にゃく,じゃく,hangeul=[[약]], [[야]]|eumhun=같을, 만약|rv=yak, ya|mr=yak, ya|y=yak, ya,,,,,,,,,,,
苦,24852,kǔ,fu2,fú,ku3,ó͘,2khu,く,く,こ,hangeul=고|eumhun=|rv=go|mr=ko|y=ko,,,,,,,,,,,,,,,,
苧,24853,zhù,cyu5,,,,,じょ,じょ,ちょ,hangeul=저|eumhun=|rv=jeo|mr=chŏ|y=ce,,,,,,,,,,,,,,,,
苨,24854,,,,,,,でい,,,,,,,,,,,,,,,,,,,
苪,24856,,,,,,,へい,,,,,,,,,,,,,,,,,,,
苫,24857,shàn,sim3,,,,,せん,せん,せん,hangeul=점|eumhun=|rv=jeom|mr=chŏm|y=cem,,,,,,,,,,,,,,,,
苬,24858,xiú,,,,,,,,,,,,,,,,,,,,,,,,,
苭,24859,,,,,,,よう,,,,,,,,,,,,,,,,,,,
苮,24860,xiān,,,,,,,,,,,,,,,,,,,,,,,,,
苯,24861,běn,bun2,,,,,ほん,ほん,ほん,hangeul=분|eumhun=|rv=bun|mr=pun|y=pun,,,,,,,,,,,,,,,,
英,24863,yīng,jing1,yîn,yin1,iaⁿ,1in,よう,よう,えい,hangeul=영|eumhun=|mr=yŏng|y=yeng,,,,,,,,,,,,,,,,
苳,24865,dōng,dung1,,,,,とう,,,hangeul=동|eumhun=|rv=dong|mr=tong|y=tong,,,,,,,,,,,,,,,,
苴,24866,jū,zeoi1,,,,,そ,そ,しょ,hangeul=저|eumhun=|rv=jeo|mr=chŏ|y=ce,,,,,,,,,,,,,,,,
苵,24867,dié,,,,,,,,,,,,,,,,,,,,,,,,,
苶,24868,niè,nip6,,,,,でつ,,,,,,,,,,,,,,,,,,,
苸,24870,hū,fu1,,,,,,,,,,,,,,,,,,,,,,,,
苹,24871,píng,ping4,,,,,びょう,びょう,へい,hangeul=평|eumhun=|rv=pyeong|mr=p'yŏng|y=phyeng,,,,,,,,,,,,,,,,
苺,24872,,,,,,,まい,まい,ばい,,,,,,,,,,,,,,,,,
苻,24873,fú,fu4,,,,,ぶ,ぶ,ふ,hangeul=부|eumhun=|rv=bu|mr=pu|y=pu,,,,,,,,,,,,,,,,
苽,24875,,,,,,,こ|kun=まこも|nanori=}},,,hangeul=고|eumhun=|rv=go|mr=ko|y=ko,,,,,,,,,,,,,,,,
苾,24876,bì,bat6,,,,,びち,びち,ひつ,hangeul=필|eumhun=|rv=pil|mr=p'il|y=phil,,,,,,,,,,,,,,,,
茀,24879,fú,fat1,,,,,ふつ,,,hangeul=불|eumhun=,,,,,,,,,,,,,,,,
茁,24880,zhuó,zyut3,,,choat,,さつ,,,hangeul=줄|eumhun=|rv=jul|mr=chul|y=cwul,,,,,,,,,,,,,,,,
茂,24881,mào,mau6,meu,,bō͘,3meu,も,も,ぼう,무,,,,,,,,,,,,,,,,
范,24882,fàn,faan6,,fam4,hoān,,ぼん,ぼん,はん,hangeul=범|eumhun=|rv=beom|mr=pŏm|y=pem,,,,,,,,,,,,,,,,
茄,24883,qié,ke4,khiò,kio2,kiô,3ga,か,,,hangeul=가|eumhun=|rv=ga|mr=ka|y=ka,,,,,,,,,,,,,,,,
茅,24884,máo,maau4,,,bâu,,みょう,みょう,ぼう,hangeul=모|eumhun=|rv=mo|mr=mo|y=mo,,,,,,,,,,,,,,,,
茆,24885,mǎo,maau5,,,,,みょう,みょう,ぼう,,,,,,,,,,,,,,,,,
茇,24886,bá,bat6,,,,,はつ,,,hangeul=[[발]], [[패]], [[불]]|eumhun=|rv=bal, pae, bul|mr=pal, p'ae, pul|y=pal, phay, pul,,,,,,,,
茈,24887,zǐ,zi2,,,,,し,,,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
茋,24890,zhǐ,zi2,,,,,し,,,,,,,,,,,,,,,,,,,
茍,24892,jì,gik1,,,,,こく,こく,きょく,,,,,,,,,,,,,,,,,
茖,24901,gé,gaak3,,,,,きゃく,きゃく,かく,,,,,,,,,,,,,,,,,
茙,24904,róng,,,,,,,,,,,,,,,,,,,,,,,,,
茛,24906,gèn,gan3,,,,,こん,,,hangeul=간|eumhun=|rv=gan|mr=kan|y=kan,,,,,,,,,,,,,,,,
茜,24907,qiàn,sin3,,,chhiàn,,せん,せん,せん,,,,,,,,,,,,,,,,,
茝,24908,chǎi,coi2,,,,,さい,,,채,,,,,,,,,,,,,,,,
茞,24909,,,,,,,しん,,,,,,,,,,,,,,,,,,,
茠,24911,,,,,,,,,,,,,,,,,,,,,,,,,,
茡,24912,,,,,,,う,,,,,,,,,,,,,,,,,,,
茢,24913,liè,lit6,,,,,れつ,,,hangeul=[[렬]]>[[열]]|eumhun=|rv=ryeol>yeol|mr=ryŏl>yŏl|y=lyel>yel,,,,,,,,,,,,,,,,
茥,24916,jiǎn,kwai1,,,,,,,,,,,,,,,,,,,,,,,,
茨,24919,cí,ci4,,,,,じ,じ,し,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
茩,24920,hòu,,,,,,,,,,,,,,,,,,,,,,,,,
茪,24921,guāng,,,,,,,,,hangeul=광|eumhun=,,,,,,,,,,,,,,,,
茫,24922,máng,mong4,,,bông,,ぼう,,,망,,,,,,,,,,,,,,,,
茬,24923,chá,caa4,,,châ,,し,,,hangeul=시|eumhun=|rv=si|mr=si|y=si,,,,,,,,,,,,,,,,
茭,24924,jiāo,gaau1,,,,,けき,,,,,,,,,,,,,,,,,,,
茮,24925,,,,,,,しょう,,,,,,,,,,,,,,,,,,,
茯,24926,fú,fuk6,,,ho̍k,,ふく,,,hangeul=복|eumhun=|rv=bok|mr=pok|y=pok,,,,,,,,,,,,,,,,
茱,24928,zhū,zyu1,,,,,しゅ,,,hangeul=수|eumhun=|rv=su|mr=su|y=swu,,,,,,,,,,,,,,,,
茲,24929,zī,zi1,chṳ̂,,chu,,し,し,し,hangeul=자,,,,,,,,,,,,,,,,
茳,24930,jiāng,,,,,,こう,,,hangeul=강|eumhun=|rv=gang|mr=kang|y=kang,,,,,,,,,,,,,,,,
茴,24931,huí,wui4,,,hôe,3hhue,え,え,かい,hangeul=회|eumhun=|rv=hoe|mr=hoe|y=hoy,,,,,,,,,,,,,,,,
茵,24932,yīn,jan1,,,,,いん,いん,いん,hangeul=인,,,,,,,,,,,,,,,,
茶,24933,chá,caa4,chhà,,,3zo,じゃ,じゃ,た,hangeul=[[다]], [[차]]|eumhun=|rv=da, cha|mr=ta, ch'a|y=ta, cha,,,,,,,,,,,,
茷,24934,fá,fat6,,,,,はい,,,,,,,,,,,,,,,,,,,
