Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
士,7196,shì,si6,sṳ,si4,,3zr,じ,じ,し,사,,,,,,,,,,,,,,,,
千,7263,qiān,cin1,chhiên,,,1qi,せん,せん,せん,일천|천,,,,,,,,,,,,,,,,
十,7267,shí,sap6,sṳ̍p,seb6,cha̍p,5zeq,じゅう,じゅう,しゅう,열|십,,,,,,,,,,,,,,,,
億,7269,yì,jik1,yi,yi4,,3hhi,おく,おく,よく,억,,,,,,,,,,,,,,,,
丨,8132,gǔn,gwan2,kun,,kún,,こん,こん,こん,곤,,,,,,,,,,,,,,,,
丶,8139,zhǔ,jyu2,chú,,chú,,ちゅう,,,주,,,,,,,,,,,,,,,,
丿,8140,piě,pit3,phiet,,iat,,へち,へち,へつ,별,,,,,,,,,,,,,,,,
乙,8141,yǐ,jyut3,yet,,it,4iq,おつ,おつ,いつ,hangeul=을|rv=eul|mr=ŭl|eumhun=새|ehrv=sae|ehmr=sae|ehy=,,,,,,,,,,,,,,,,
亅,8142,jué,kyut3,khiet,,koa̍t,,がち,がち,けつ,hangeul=궐|rv=gwol|mr=kwŏl|y=kwel,,,,,,,,,,,,,,,,
二,8143,èr,ji6,ngi,ngi4,,3nyi,に,に,じ,둘|두|이,,,,,,,,,,,,,,,,
入,8146,rù,jap6,ngi̍p,,,5zeq,にゅう,にゅう,じゅう,,,,,,,,,,,,,,,,,
八,8147,bā,baat3,pat,,,4paq,はち,はち,はつ,여덟|팔,,,,,,,,,,,,,,,,
冂,8269,jiōng,gwing1,koén,,keng,,きょう,きょう,けい,hangeul=경|rv=gyeong|mr=kyŏng|eumhun=멀|ehrv=meol,,,,,,,,,,,,,,,,
冫,8319,bīng,bing1,pên,,peng,,ひょう,ひょう,ひょう,hangeul=빙|rv=bing|mr=ping|y=ping|eumhun=얼음|ehrv=eoreum,,,,,,,,,,,,,,,,
丁,8320,dīng,ding1,tên,,teng,1tin,ちょう,ちょう,てい,hangeul=정|rv=jeong|mr=chŏng|y=ceng|eumhun=[[고무래]], [[장정]]|ehrv=gomurae, jangjeong|ehmr=komurae, changjŏng|ehy=komuray, cangceng,,,,,,,,,,,,
村,8357,cūn,cyun1,chhûn,,chhun,1tshen,そん,そん,そん,hangeul=촌|eumhun=마을|mr=ch'on|y=chon|ehrv=maeul|ehmr=maŭl|ehy=maul,,,,,,,,,,,,,,,,
激,8628,jī,gik1,kie̍p,,,4jiq,きゃく,きゃく,けき,hangeul=격|eumhun=|rv=gyeok|mr=kyŏk|y=kyek,,,,,,,,,,,,,,,,
闘,8630,,,,,,,つ,つ,とう,,,,,,,,,,,,,,,,,
界,8632,jiè,gaai3,kie,,kài,,け,け,かい,hangeul=계|eumhun=|rv=gye|mr=kye|y=kyey,,,,,,,,,,,,,,,,
章,8635,zhāng,zoeng1,chông,,,1tsaan,しょう,しょう,しょう,hangeul=[[장]]|eumhun=|mr=chang|y=cang,,,,,,,,,,,,,,,,
編,8637,biān,pin1,phiên,,ian,1pi,へん,へん,へん,hangeul=[[편]], [[변]]|eumhun=|rv=pyeon, byeon|mr=p'yŏn, pyŏn|y=phyen, pyen,,,,,,,,,,,,
神,8639,shén,san4,sṳ̀n,,sîn,3zen,じん,じん,しん,hangeul=신,,,,,,,,,,,,,,,,
三,8650,sān,saam1,sâm,sam1,saⁿ,1se,さん,さん,さん,,,,,,,,,,,,,,,,,
四,8651,sì,sei3,si,xi4,,2sr,し,し,し,넉|사,,,,,,,,,,,,,,,,
五,8652,wǔ,ng5,ńg,n3,,3hhngg,ご,ご,ご,,,,,,,,,,,,,,,,,
六,8653,liù,luk6,liuk,liug5,la̍k,5loq,ろく,ろく,りく,,,,,,,,,,,,,,,,,
