,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
85,㐆,10081.0,yǐn,zaan2,,,,,,,,hangeul=은|rv=eun|mr=ŭn|y=un|eumhun=돌아오다|ehrv=dolaoda|ehmr=tolaoda|ehy=tolaota,,,,,,,,,,,,,,,,
86,㐭,10121.0,lǐn,,,,,,,,,hangeul=[[름]]([[늠]])|rv=reum(neum)|mr=rŭm(nŭm)|y=rum(<sup>r</sup>num)|eumhun=곳집|ehrv=gotjip|ehmr=kotchip|ehy=koscip,,,,,,,,,,,,,,,,
87,㐱,10125.0,zhěn,can2,,,,,,,,hangeul=진|rv=jin|mr=chin|y=cin,,,,,,,,,,,,,,,,
88,㐲,10126.0,dài,daai6,,,,,,,,hangeul=대|rv=dae|mr=tae|y=tay,,,,,,,,,,,,,,,,
89,㐸,10132.0,qiàn,gim1,,,,,,,,hangeul=흠|rv=heum|mr=hŭm|y=hum|eumhun=하품|ehrv=hapum|ehmr=hapum|ehy=hapum,,,,,,,,,,,,,,,,
90,㑁,10141.0,zhuō,zyut3,,,,,,,,hangeul=출|rv=chul|mr=ch'ul|y=chwul|eumhun=짧다|ehrv=jjalta|ehmr=tchalta|ehy=ccalpta,,,,,,,,,,,,,,,,
91,㑃,10143.0,ǎo,au2,,,,,,,,hangeul=요|rv=yo|mr=yo|y=yo|eumhun=헤매다|ehrv=hemaeda|ehmr=hemaeda|ehy=heymayta,,,,,,,,,,,,,,,,
92,㑉,10149.0,sù,cuk1,,,,,,,,hangeul=숙|rv=suk|mr=suk|y=swuk|eumhun=[[펴다|펴지지]] [[않다]]|ehrv=pyeojiji anta|ehmr=pyŏjiji ant'a|ehy=phyecici anhta,,,,,,,,,,,,,,,,
93,㑗,10173.0,shēn,saan1,,,,,,,,hangeul=신|rv=sin|mr=sin|y=sin|eumhun=계집|ehrv=gyejip|ehmr=kyejip|ehy=kyeycip,,,,,,,,,,,,,,,,
94,㑙,10175.0,dié,dip6,,,,,,,,hangeul=접|rv=jeop|mr=chŏp|y=cep,,,,,,,,,,,,,,,,
95,㑛,10177.0,sù,cuk1,,,,,,,,hangeul=속|rv=sok|mr=sok|y=sok,,,,,,,,,,,,,,,,
96,㑜,10178.0,yì,zaai6,,,,,,,,hangeul=절|rv=jeol|mr=chŏl|y=cel|eumhun=새기다|ehrv=saegida|ehmr=saegida|ehy=saykita,,,,,,,,,,,,,,,,
97,㑞,10180.0,,,,,,,,,,hangeul=잉|rv=ing|mr=ing|y=ing|eumhun=딸려보내다|ehrv=ttallyeobonaeda|ehmr=ttallyŏbonaeda|ehy=ttallyeponayta,,,,,,,,,,,,,,,,
98,㑟,10181.0,běng,mang1,,,,,,,,hangeul=팽|rv=paeng|mr=p'aeng|y=phayng|eumhun=거짓말하다|ehrv=geojinmalhada|ehmr=kŏjinmarhada|ehy=kecismalhata,,,,,,,,,,,,,,,,
