Unnamed: 0,Column1,Column2,mand_pron,mand_tone,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,kor_0,kor_1,kor_2
12326,鼙,33124.0,,,,,,,,へい,,,ㅂ,ㅣ,
12327,鼚,33125.0,,,,,,,,ちょう,,,ㅊ,ㅏ,ㅇ
12328,鼛,33126.0,,,,,,,,こう,,,ㄱ,ㅗ,
12329,鼜,33127.0,cao,4,,,,,,,,,ㅊ,ㅓ,ㄱ
12330,鼞,33129.0,tang,1,dong1,,,,,,,,ㄷ,ㅏ,ㅇ
12331,鼟,33130.0,teng,1,,,,,,とう,,,ㄷ,ㅡ,ㅇ
12332,鼠,33131.0,shu,3,syu2,chhú,cu3,,2tshr,しょ,しょ,しょ,ㅅ,ㅓ,
12333,鼢,33133.0,fen,2,fan4,,,hûn,,ふん,,,ㅂ,ㅜ,ㄴ
12334,鼣,33134.0,fei,4,fai6,,,,,,,,ㅍ,ㅖ,
12335,鼤,33135.0,wen,2,man4,,,,,,,,ㅁ,ㅜ,ㄴ
12336,鼧,33138.0,tuo,2,to4,,,,,,,,ㅌ,ㅏ,
12337,鼨,33139.0,zhong,1,,,,,,,,,ㅈ,ㅗ,ㅇ
12338,鼩,33140.0,qu,2,keoi4,,,,,,,,ㄱ,ㅜ,
12339,鼪,33141.0,sheng,1,sang1,,,seng,,しょう,しょう,しょう,ㅅ,ㅐ,ㅇ
12340,鼫,33142.0,shi,2,sek6,,,,,せき,,,ㅅ,ㅓ,ㄱ
12341,鼬,33143.0,you,4,jau6,,,iū,,ゆ,ゆ,ゆう,ㅇ,ㅠ,
12342,鼭,33144.0,shi,2,,,,,,,,,ㅅ,ㅣ,
12343,鼮,33145.0,ting,2,ting4,,,,,,,,ㅈ,ㅓ,ㅇ
12344,鼯,33146.0,wu,2,ng4,,,,,ご,,,ㅇ,ㅗ,
12345,鼱,33148.0,jing,1,zing1,,,,,せい,,,ㅈ,ㅓ,ㅇ
12346,鼳,33150.0,ju,2,,,,,,,,,ㄱ,ㅕ,ㄱ
12347,鼴,33151.0,yan,3,jin2,,,,,えん,,,ㅇ,ㅓ,ㄴ
12348,鼵,33152.0,tu,1,,,,,,,,,ㄷ,ㅗ,ㄹ
12349,鼶,33153.0,si,1,,,,,,,,,ㅅ,ㅏ,
12350,鼷,33154.0,xi,1,hai4,,,,,けい,,,ㅎ,ㅖ,
12351,鼸,33155.0,xian,4,jim6,,,,,,,,ㄱ,ㅕ,ㅁ
12352,鼻,33158.0,bi,2,bei6,phi,pi4,,5beq,び,び,ひ,ㅂ,ㅣ,
12353,鼽,33160.0,qiu,2,kau4,,,,,ぐ,ぐ,きゅう,ㄱ,ㅜ,
12354,鼾,33161.0,han,1,hon4,,,hôaⁿ,1hoe,かん,かん,かん,ㅎ,ㅏ,ㄴ
12355,鼿,33162.0,wu,4,,,,,,ごち,ごち,ごつ,ㅇ,ㅗ,ㄹ
12356,齁,33164.0,hou,1,hau1,,,ho,,こう,,,ㅎ,ㅜ,
12357,齂,33165.0,,,,,,,,,,,ㅎ,ㅢ,
12358,齃,33166.0,,,,,,,,かつ,,,ㅇ,ㅏ,ㄹ
12359,齅,33168.0,,,,,,,,きゅう,,,ㅎ,ㅜ,
12360,齈,33171.0,nong,2,nung4,,,,,,,,ㄴ,ㅗ,ㅇ
12361,齊,33173.0,qi,2,cai4,chhè,,,,せい,,,ㅈ,ㅔ,
12362,齋,33174.0,zhai,1,zaai1,châi,zai1,che,1tsa,さい,,,ㅈ,ㅐ,
12363,齌,33175.0,ji,4,zai1,,,,,,,,ㅈ,ㅔ,
12364,齍,33176.0,zi,1,zi1,,,,,,,,ㅈ,ㅏ,
12365,齎,33177.0,ji,1,zai1,chî,,che,,せい,,,ㅈ,ㅐ,
12366,齏,33178.0,ji,1,zai1,,,,,せい,,,ㅈ,ㅔ,
12367,齒,33181.0,chi,3,ci2,chhṳ́,,í,2tshr,し,し,し,ㅊ,ㅣ,
12368,齔,33183.0,chen,4,can3,,,,,しん,,,ㅊ,ㅣ,ㄴ
12369,齕,33184.0,he,2,hat6,,,,,こつ,,,ㅎ,ㅡ,ㄹ
12370,齖,33185.0,,,,,,,,が,,,ㅇ,ㅏ,
12371,齗,33186.0,yan,3,ngan4,,,,,きん,,,ㅇ,ㅡ,ㄴ
12372,齘,33187.0,xie,4,haai6,,,,,かい,,,ㄱ,ㅖ,
12373,齚,33189.0,ze,2,zaak3,,,,,さく,,,ㅅ,ㅐ,ㄱ
12374,齛,33190.0,xie,4,,,,,,,,,ㅅ,ㅔ,
12375,齜,33191.0,zi,1,zi1,,,,,,,,ㅈ,ㅐ,
12376,齝,33193.0,chi,1,ci1,,,,,ち,,,ㅊ,ㅣ,
12377,齞,33194.0,yan,3,jin6,,,,,げん,,,ㅇ,ㅓ,ㄴ
12378,齟,33195.0,ju,3,zeoi2,,,cho͘,,そ,,,ㅈ,ㅓ,
12379,齠,33196.0,tiao,2,tiu4,,,,,ちょう,,,ㅊ,ㅗ,
12380,齡,33197.0,ling,2,ling4,,,lêng,,りょう,りょう,れい,ㄹ,ㅕ,ㅇ
12381,齤,33200.0,quan,2,kyun4,,,,,,,,ㄱ,ㅝ,ㄴ
12382,齦,33202.0,yin,2,ngan4,,,,,こん,こん,ぎん,ㄱ,ㅏ,ㄴ
12383,齧,33203.0,nie,4,jit6,,,,,けつ,,,ㅅ,ㅓ,ㄹ
