,character,wiki_id,mando_onset,mando_nucl,mando_coda,mando_tone,canto_onset,canto_nucl,canto_coda,canto_tone,Column5,Column6,Column7,Column8,jp_on_first,jp_on_rest,jp_kan_first,jp_kan_rest,kor_0,kor_1,kor_2
8192,茄,24883,q,ie,∅,2,k,e,∅,4,khiò,kio2,kiô,3ga,か,∅,,,ㄱ,ㅏ,∅
8193,茅,24884,m,ao,∅,2,m,aau,∅,4,,,bâu,,みょ,う,ぼ,う,ㅁ,ㅗ,∅
8194,茆,24885,m,ao,∅,3,m,aau,∅,5,,,,,みょ,う,ぼ,う,ㅁ,ㅛ,∅
8195,茇,24886,b,a,∅,2,b,a,t,6,,,,,は,つ,,,ㅂ,ㅏ,ㄹ
8196,茈,24887,z,i,∅,3,z,i,∅,2,,,,,し,∅,,,ㅈ,ㅏ,∅
8197,茋,24890,zh,i,∅,3,z,i,∅,2,,,,,し,∅,,,ㅈ,ㅓ,∅
8198,茍,24892,j,i,∅,4,g,i,k,1,,,,,こ,く,きょ,く,ㄱ,ㅡ,ㄱ
8199,茖,24901,g,e,∅,2,g,aa,k,3,,,,,きゃ,く,か,く,ㄱ,ㅏ,ㄱ
8200,茙,24904,r,o,ng,2,,,,,,,,,,,,,ㅇ,ㅠ,ㅇ
8201,茛,24906,g,e,n,4,g,a,n,3,,,,,こ,ん,,,ㄱ,ㅏ,ㄴ
8202,茜,24907,q,ia,n,4,s,i,n,3,,,chhiàn,,せ,ん,せ,ん,ㅊ,ㅓ,ㄴ
8203,茝,24908,ch,ai,∅,3,c,oi,∅,2,,,,,さ,い,,,ㅊ,ㅐ,∅
8204,茞,24909,,,,,,,,,,,,,し,ん,,,ㅅ,ㅣ,ㄴ
8205,茠,24911,,,,,,,,,,,,,,,,,ㅎ,ㅠ,∅
8206,茡,24912,,,,,,,,,,,,,う,∅,,,ㅈ,ㅏ,∅
8207,茢,24913,l,ie,∅,4,l,i,t,6,,,,,れ,つ,,,ㅇ,ㅕ,ㄹ
8208,茥,24916,j,ia,n,3,kw,ai,∅,1,,,,,,,,,ㄱ,ㅠ,∅
8209,茨,24919,c,i,∅,2,c,i,∅,4,,,,,じ,∅,し,∅,ㅈ,ㅏ,∅
8210,茩,24920,h,ou,∅,4,,,,,,,,,,,,,ㄱ,ㅜ,∅
8211,茪,24921,g,ua,ng,1,,,,,,,,,,,,,ㄱ,ㅘ,ㅇ
8212,茫,24922,m,a,ng,2,m,o,ng,4,,,bông,,ぼ,う,,,ㅁ,ㅏ,ㅇ
8213,茬,24923,ch,a,∅,2,c,aa,∅,4,,,châ,,し,∅,,,ㅊ,ㅣ,∅
8214,茭,24924,j,iao,∅,1,g,aau,∅,1,,,,,け,き,,,ㄱ,ㅛ,∅
8215,茮,24925,,,,,,,,,,,,,しょ,う,,,ㅊ,ㅗ,∅
8216,茯,24926,f,u,∅,2,f,u,k,6,,,ho̍k,,ふ,く,,,ㅂ,ㅗ,ㄱ
8217,茱,24928,zh,u,∅,1,z,yu,∅,1,,,,,しゅ,∅,,,ㅅ,ㅜ,∅
8218,茲,24929,z,i,∅,1,z,i,∅,1,chṳ̂,,chu,,し,∅,し,∅,ㅈ,ㅏ,∅
8219,茳,24930,j,ia,ng,1,,,,,,,,,こ,う,,,ㄱ,ㅏ,ㅇ
8220,茴,24931,h,ui,∅,2,w,ui,∅,4,,,hôe,3hhue,え,∅,か,い,ㅎ,ㅚ,∅
8221,茵,24932,∅,yi,n,1,j,a,n,1,,,,,い,ん,い,ん,ㅇ,ㅣ,ㄴ
8222,茶,24933,ch,a,∅,2,c,aa,∅,4,chhà,,,3zo,じゃ,∅,た,∅,ㄷ,ㅏ,∅
8223,茷,24934,f,a,∅,2,f,a,t,6,,,,,は,い,,,ㅍ,ㅐ,∅
8224,茸,24935,r,o,ng,2,j,u,ng,4,yùng,,,,にょ,う,じょ,う,ㅇ,ㅛ,ㅇ
8225,茹,24936,r,u,∅,2,j,yu,∅,6,,,jî,,じょ,∅,,,ㅇ,ㅕ,∅
8226,茺,24937,ch,o,ng,1,c,u,ng,1,,,,,しゅ,う,,,ㅊ,ㅜ,ㅇ
8227,茻,24938,m,a,ng,3,m,o,ng,5,,,,,,,,,ㅁ,ㅏ,ㅇ
8228,茿,24942,zh,u,∅,2,,,,,,,,,,,,,ㅊ,ㅜ,ㄱ
8229,荀,24943,x,u,n,2,s,eo,n,1,,,,,しゅ,ん,しゅ,ん,ㅅ,ㅜ,ㄴ
8230,荁,24944,h,ua,n,2,,,,,,,,,,,,,ㅎ,ㅘ,ㄴ
8231,荂,24945,f,u,∅,1,kw,aa,∅,1,,,,,か,∅,,,ㄱ,ㅘ,∅
8232,荃,24946,q,ua,n,2,c,yu,n,4,,,,,せ,ん,,,ㅈ,ㅓ,ㄴ
8233,荄,24947,g,ai,∅,1,g,oi,∅,1,,,,,か,い,,,ㅎ,ㅐ,∅
8234,荅,24948,d,a,∅,2,d,aa,p,3,,,,,と,う,と,う,ㄷ,ㅏ,ㅂ
8235,荇,24950,x,i,ng,4,h,a,ng,6,,,,,こ,う,,,ㅎ,ㅐ,ㅇ
8236,荈,24951,ch,ua,n,3,c,yu,n,2,,,,,,,,,ㅊ,ㅓ,ㄴ
8237,草,24952,c,ao,∅,3,c,ou,∅,2,chhó,,chháu,2tshau,そ,う,そ,う,ㅊ,ㅗ,∅
8238,荊,24953,j,i,ng,1,g,i,ng,1,,,keng,,け,い,,,ㅎ,ㅕ,ㅇ
8239,荌,24955,∅,a,n,4,,,,,,,,,,,,,ㅇ,ㅏ,ㄴ
8240,荎,24957,,,,,,,,,,,,,じ,∅,ち,∅,ㅊ,ㅣ,∅
8241,荏,24958,r,e,n,3,j,a,m,5,,,lám,3zen,に,ん,じ,ん,ㅇ,ㅣ,ㅁ
8242,荐,24959,j,ia,n,4,z,i,n,3,,,,,せ,ん,,,ㅊ,ㅓ,ㄴ
8243,荑,24977,t,i,∅,2,j,i,∅,4,,,,,い,∅,い,∅,ㅇ,ㅣ,∅
8244,荒,24978,h,ua,ng,1,f,o,ng,1,fông,fong1,hong,,こ,う,こ,う,ㅎ,ㅘ,ㅇ
8245,荓,24979,,,,,,,,,,,,,へ,い,,,ㅂ,ㅕ,ㅇ
8246,荔,24980,l,i,∅,4,l,ai,∅,6,lí,,,3li,ら,い,れ,い,ㄹ,ㅕ,∅
8247,荰,25008,,,,,,,,,,,,,と,∅,,,ㄷ,ㅜ,∅
8248,荲,25010,l,i,∅,2,,,,,,,,,,,,,ㄹ,ㅣ,∅
8249,荳,25011,,,,,,,,,,,,,と,う,,,ㄷ,ㅜ,∅
8250,荵,25013,r,e,n,3,j,a,n,2,,,,,に,ん,じ,ん,ㅇ,ㅣ,ㄴ
8251,荶,25014,∅,yi,n,2,,,,,,,,,,,,,ㅇ,ㅡ,ㅁ
8252,荹,25017,,,,,,,,,,,,,,,,,ㅊ,ㅗ,∅
8253,荺,25018,∅,yu,n,3,w,a,n,5,,,,,,,,,ㅇ,ㅠ,ㄴ
8254,荻,25019,d,i,∅,2,d,i,k,6,,,,,じゃ,く,て,き,ㅈ,ㅓ,ㄱ
8255,荼,25020,t,u,∅,2,t,ou,∅,4,,,tô͘,,じゃ,∅,た,∅,ㄷ,ㅗ,∅
8256,荽,25021,s,ui,∅,1,s,eoi,∅,1,sî,sui1,,1soe,い,∅,,,ㅇ,ㅠ,∅
8257,荾,25022,s,ui,∅,1,s,eoi,∅,1,,,,,,,,,ㅅ,ㅜ,∅
8258,莁,25025,∅,wu,∅,2,,,,,,,,,,,,,ㅁ,ㅜ,∅
8259,莂,25026,b,ie,∅,2,,,,,,,,,へ,つ,,,ㅂ,ㅕ,ㄹ
8260,莃,25027,x,i,∅,1,h,ei,∅,1,,,,,,,,,ㅎ,ㅢ,∅
8261,莅,25029,,,,,,,,,,,,,り,∅,,,ㄹ,ㅣ,∅
8262,莆,25030,p,u,∅,2,p,ou,∅,4,,,ô͘,,ふ,∅,,,ㅂ,ㅗ,∅
8263,莈,25032,m,o,∅,4,m,u,t,6,,,,,,,,,ㅁ,ㅗ,ㄹ
8264,莉,25033,l,i,∅,4,l,ei,∅,6,,,lē,,ら,い,れ,い,ㄹ,ㅣ,∅
8265,莊,25034,zh,ua,ng,1,z,o,ng,1,chông,,chng,1tsaan,しょ,う,そ,う,ㅈ,ㅏ,ㅇ
8266,莋,25035,z,uo,∅,2,z,o,k,6,,,,,,,,,ㅈ,ㅏ,ㄱ
8267,莌,25036,t,uo,∅,1,t,yu,t,3,,,,,,,,,ㅌ,ㅏ,ㄹ
8268,莍,25037,q,iu,∅,2,,,,,,,,,きゅ,う,,,ㅊ,ㅜ,ㄹ
8269,莎,25038,s,uo,∅,1,s,o,∅,1,,,,,さ,∅,さ,∅,ㅅ,ㅏ,∅
8270,莏,25039,s,uo,∅,1,c,o,∅,1,,,,,,,,,ㅅ,ㅏ,∅
8271,莐,25040,ch,e,n,2,c,a,m,4,,,,,,,,,ㅊ,ㅣ,ㅁ
8272,莑,25041,p,e,ng,2,p,u,ng,4,,,,,,,,,ㅂ,ㅗ,ㅇ
8273,莒,25042,j,u,∅,3,g,eoi,∅,2,,,,,きょ,∅,,,ㄱ,ㅓ,∅
8274,莓,25043,m,ei,∅,2,m,ui,∅,4,,,m̂,,ま,い,ば,い,ㅁ,ㅐ,∅
8275,莔,25044,m,e,ng,2,m,aa,ng,4,,,,,も,う,,,ㅁ,ㅐ,ㅇ
8276,莕,25045,,,,,,,,,,,,,こ,う,,,ㅎ,ㅐ,ㅇ
8277,莖,25046,j,i,ng,1,g,i,ng,3,kîn,gin1,hûiⁿ,,ぎょ,う,こ,う,ㄱ,ㅕ,ㅇ
8278,莘,25048,sh,e,n,1,s,a,n,1,,,,,し,ん,,,ㅅ,ㅣ,ㄴ
8279,莙,25049,j,u,n,1,kw,a,n,2,,,,,き,ん,,,ㄱ,ㅜ,ㄴ
8280,莚,25050,∅,ya,n,2,j,i,n,4,,,,,え,ん,え,ん,ㅇ,ㅕ,ㄴ
8281,莛,25051,t,i,ng,2,t,i,ng,4,,,têng,,て,い,,,ㅈ,ㅓ,ㅇ
8282,莜,25052,∅,you,∅,2,j,au,∅,4,,,,,て,き,,,ㅈ,ㅗ,∅
8283,莝,25053,c,uo,∅,4,c,o,∅,3,,,,,さ,∅,,,ㅈ,ㅘ,∅
8284,莞,25054,g,ua,n,1,g,u,n,1,,,,,か,ん,,,ㅇ,ㅘ,ㄴ
8285,莟,25056,h,a,n,4,,,,,,,,,か,ん,,,ㅎ,ㅏ,ㅁ
8286,莠,25057,∅,you,∅,3,,,,,,,,,ゆ,う,,,ㅇ,ㅠ,∅
8287,莡,25058,c,uo,∅,4,,,,,,,,,,,,,ㅊ,ㅏ,ㄱ
8288,莢,25059,j,ia,∅,2,g,aa,p,3,,,kiap,,きょ,う,,,ㅎ,ㅕ,ㅂ
8289,莣,25060,∅,wa,ng,2,,,,,,,,,,,,,ㅁ,ㅏ,ㅇ
8290,莤,25061,,,,,,,,,,,,,,,,,ㅅ,ㅜ,ㄱ
8291,莥,25062,n,iu,∅,3,,,,,,,,,,,,,ㄴ,ㅠ,∅
8292,莦,25063,sh,ao,∅,1,s,aau,∅,1,,,,,しょ,う,しょ,う,ㅅ,ㅗ,∅
8293,莧,25064,x,ia,n,4,j,i,n,6,,,,,け,ん,か,ん,ㅎ,ㅕ,ㄴ
8294,莨,25065,l,a,ng,4,l,o,ng,6,,,,,ろ,う,ろ,う,ㄹ,ㅏ,ㅇ
8295,莩,25066,f,u,∅,2,f,u,∅,1,,,,,ふ,∅,,,ㅂ,ㅜ,∅
8296,莪,25067,∅,e,∅,2,ng,o,∅,4,,,gô,,が,∅,,,ㅇ,ㅏ,∅
8297,莫,25068,m,o,∅,4,m,o,k,6,mo̍k,,bo̍k,5moq,も,∅,ぼ,∅,ㅁ,ㅏ,ㄱ
8298,莬,25069,,,,,,,,,,,,,ぶ,ん,,,ㅁ,ㅕ,ㄴ
8299,莽,25086,m,a,ng,3,m,o,ng,5,,,bóng,,も,∅,ぼ,う,ㅁ,ㅏ,ㅇ
8300,莿,25088,c,i,∅,4,c,i,∅,3,,,,,し,∅,,,ㅈ,ㅏ,∅
8301,菀,25089,∅,wa,n,3,j,yu,n,2,,,,,え,ん,,,ㅇ,ㅜ,ㄹ
8302,菁,25090,j,i,ng,1,c,i,ng,1,,,cheng,,しょ,う,せ,い,ㅊ,ㅓ,ㅇ
8303,菄,25093,d,o,ng,1,,,,,,,,,,,,,ㄷ,ㅗ,ㅇ
8304,菅,25094,j,ia,n,1,g,aa,n,1,,,,,か,ん,,,ㄱ,ㅘ,ㄴ
8305,菆,25095,z,ou,∅,1,z,au,∅,1,,,,,,,,,ㅊ,ㅜ,∅
8306,菈,25097,l,a,∅,1,,,,,,,,,,,,,ㄹ,ㅏ,ㅂ
8307,菉,25098,l,u,∅,4,l,u,k,6,,,,,ろ,く,りょ,く,ㄹ,ㅗ,ㄱ
8308,菊,25099,j,u,∅,2,g,u,k,1,khiuk,,kiok,4jyq,き,く,き,く,ㄱ,ㅜ,ㄱ
8309,菌,25101,j,u,n,1,kw,a,n,2,,,ún,,ご,ん,き,ん,ㄱ,ㅠ,ㄴ
8310,菍,25102,n,ie,∅,4,n,i,p,6,,,,,,,,,ㅇ,ㅣ,ㅁ
8311,菎,25103,k,u,n,1,kw,a,n,1,,,,,こ,ん,こ,ん,ㄱ,ㅗ,ㄴ
8312,菏,25104,h,e,∅,2,h,o,∅,4,,,,,か,∅,,,ㅎ,ㅏ,∅
8313,菐,25105,p,u,∅,2,b,u,k,6,,,,,ほ,く,,,ㅂ,ㅗ,ㄱ
8314,菒,25107,,,,,,,,,,,,,,,,,ㄱ,ㅗ,∅
8315,菓,25108,,,,,,,,,,,,,か,∅,か,∅,ㄱ,ㅘ,∅
8316,菔,25109,f,u,∅,2,f,u,k,6,,,ho̍k,,ほ,く,,,ㅂ,ㅗ,ㄱ
8317,菕,25110,l,u,n,2,l,eo,n,4,,,,,,,,,ㄹ,ㅗ,ㄴ
8318,菖,25111,ch,a,ng,1,c,oe,ng,1,,,chhiong,,しょ,う,しょ,う,ㅊ,ㅏ,ㅇ
8319,菗,25112,ch,ou,∅,2,,,,,,,,,,,,,ㅈ,ㅜ,∅
8320,菘,25113,s,o,ng,1,s,u,ng,1,,,,,す,う,しゅ,う,ㅅ,ㅜ,ㅇ
8321,菙,25114,ch,ui,∅,2,c,eoi,∅,4,,,,,,,,,ㅅ,ㅜ,∅
8322,菜,25117,c,ai,∅,4,c,oi,∅,3,chhoi,,chhài,2tshe,さ,い,さ,い,ㅊ,ㅐ,∅
8323,菝,25118,b,a,∅,2,b,a,t,6,,,,,は,つ,,,ㅂ,ㅏ,ㄹ
8324,菟,25120,t,u,∅,4,t,ou,∅,3,,,,,つ,∅,と,∅,ㄷ,ㅗ,∅
8325,菠,25121,b,o,∅,1,b,o,∅,1,,,po͘,,は,∅,は,∅,ㅍ,ㅏ,∅
8326,菡,25122,h,a,n,4,h,aa,m,5,,,,,,,,,ㅎ,ㅏ,ㅁ
8327,菢,25123,b,ao,∅,4,b,ou,∅,6,,,,,,,,,ㅍ,ㅗ,∅
8328,菣,25124,q,i,n,4,,,,,,,,,,,,,ㄱ,ㅣ,ㄴ
8329,菤,25125,j,ua,n,3,,,,,,,,,,,,,ㄱ,ㅝ,ㄴ
8330,菥,25126,x,i,∅,1,s,i,k,1,,,,,,,,,ㅅ,ㅓ,ㄱ
8331,菦,25127,,,,,,,,,,,,,,,,,ㄱ,ㅡ,ㄴ
8332,菨,25129,,,,,,,,,,,,,しょ,う,,,ㅈ,ㅓ,ㅂ
8333,菩,25130,b,ei,∅,4,,,,,,,,,ば,い,は,い,ㅂ,ㅗ,∅
8334,菬,25133,h,ua,∅,1,z,iu,∅,2,,,,,,,,,ㅊ,ㅗ,∅
8335,菭,25134,t,ai,∅,2,t,oi,∅,4,,,,,,,,,ㅌ,ㅐ,∅
8336,華,25136,h,ua,∅,2,w,aa,∅,4,fà,fa2,hôa,3hho,け,∅,か,∅,ㅎ,ㅘ,∅
8337,菰,25137,g,u,∅,1,g,u,∅,1,,,ko͘,1ku,こ,∅,,,ㄱ,ㅗ,∅
8338,菲,25139,f,ei,∅,1,f,ei,∅,1,,,hui,,ひ,∅,ひ,∅,ㅂ,ㅣ,∅
8339,菳,25140,q,i,n,2,k,a,n,4,,,,,,,,,ㄱ,ㅡ,ㅁ
8340,菴,25141,∅,ya,n,3,,,,,,,,,お,ん,あ,ん,ㅇ,ㅏ,ㅁ
8341,菵,25142,∅,wa,ng,3,m,o,ng,5,,,,,,,,,ㅁ,ㅏ,ㅇ
8342,菶,25143,b,e,ng,3,b,u,ng,2,,,,,ほ,う,,,ㅂ,ㅗ,ㅇ
8343,菸,25145,∅,yu,∅,1,,,,,,,,,え,ん,,,ㅇ,ㅓ,∅
8344,菹,25146,j,u,∅,1,z,eoi,∅,1,,,,,しょ,∅,,,ㅈ,ㅓ,∅
8345,菺,25147,,,,,,,,,,,,,,,,,ㄱ,ㅕ,ㄴ
8346,菻,25148,l,i,n,3,l,a,m,4,,,,,り,ん,,,ㄹ,ㅡ,ㅁ
8347,菼,25149,t,a,n,3,t,aa,m,2,,,thám,,た,ん,,,ㄷ,ㅏ,ㅁ
8348,菾,25151,t,ia,n,2,t,i,m,4,,,,,,,,,ㅊ,ㅓ,ㅁ
8349,菿,25152,d,ao,∅,4,d,ou,∅,3,,,,,,,,,ㄷ,ㅗ,∅
8350,萀,25153,h,u,∅,3,,,,,,,,,,,,,ㅎ,ㅗ,∅
8351,萁,25154,q,i,∅,2,k,ei,∅,4,,,,,き,∅,き,∅,ㄱ,ㅣ,∅
8352,萃,25156,c,ui,∅,4,s,eoi,∅,6,,,,,ず,い,す,い,ㅊ,ㅞ,∅
8353,萄,25157,t,ao,∅,2,t,ou,∅,4,,,tô,3dau,ど,う,と,う,ㄷ,ㅗ,∅
8354,萆,25159,,,,,,,,,,,,,ひ,∅,,,ㅂ,ㅣ,∅
8355,萇,25160,ch,a,ng,2,c,oe,ng,4,,,,,ちょ,う,,,ㅈ,ㅏ,ㅇ
8356,萈,25161,h,ua,n,2,w,u,n,4,,,,,,,,,ㅎ,ㅘ,ㄴ
8357,萉,25162,f,ei,∅,4,,,,,,,,,,,,,ㅂ,ㅣ,∅
8358,萊,25163,l,ai,∅,2,l,oi,∅,4,,,lâi,,ら,い,ら,い,ㄹ,ㅐ,∅
8359,萋,25164,q,i,∅,1,c,ai,∅,1,,,,,せ,い,,,ㅊ,ㅓ,∅
8360,萌,25165,m,e,ng,2,m,a,ng,4,mèn,mên2,bêng,3men,みょ,う,も,う,ㅁ,ㅐ,ㅇ
8361,萍,25166,p,i,ng,2,p,i,ng,4,,,êng,,びょ,う,へ,い,ㅍ,ㅕ,ㅇ
8362,萎,25167,∅,wei,∅,3,,,,,,,úi,,い,∅,い,∅,ㅇ,ㅟ,∅
8363,萏,25168,d,a,n,4,d,aa,m,6,,,,,た,ん,,,ㄷ,ㅏ,ㅁ
8364,萐,25169,sh,a,∅,4,,,,,,,,,,,,,ㅅ,ㅏ,ㅂ
8365,萑,25170,h,ua,n,2,w,u,n,4,,,,,か,ん,,,ㅊ,ㅜ,∅
8366,萒,25171,∅,ya,n,3,,,,,,,,,,,,,ㅇ,ㅓ,ㄴ
8367,萩,25194,q,iu,∅,1,c,au,∅,1,,,,,しゅ,∅,しゅ,う,ㅊ,ㅜ,∅
8368,萪,25195,k,e,∅,1,,,,,,,,,く,わ,,,ㄱ,ㅘ,∅
8369,萫,25196,x,ia,ng,1,,,,,,,,,,,,,ㅎ,ㅑ,ㅇ
8370,萭,25197,∅,yu,∅,3,,,,,,,,,,,,,ㅇ,ㅜ,∅
8371,萮,25198,∅,yu,∅,2,,,,,,,,,,,,,ㅇ,ㅠ,∅
8372,萯,25199,f,u,∅,4,f,u,∅,5,,,,,ふ,う,,,ㅂ,ㅜ,∅
8373,萰,25200,l,ia,n,4,,,,,,,,,,,,,ㄹ,ㅕ,ㄴ
8374,萱,25201,x,ua,n,1,h,yu,n,1,,,,,け,ん,,,ㅎ,ㅝ,ㄴ
8375,萳,25204,,,,3,,,,,,,,,,,,,ㄴ,ㅏ,ㅁ
8376,萴,25205,c,e,∅,4,,,,,,,,,,,,,ㅈ,ㅡ,ㄱ
8377,萸,25209,∅,yu,∅,2,j,yu,∅,4,,,,,ゆ,∅,,,ㅇ,ㅠ,∅
8378,萹,25210,b,ia,n,1,b,i,n,1,,,,,へ,ん,,,ㅍ,ㅕ,ㄴ
8379,萼,25213,∅,e,∅,4,ng,o,k,6,nga̍k,,,,が,く,が,く,ㅇ,ㅏ,ㄱ
8380,落,25214,l,uo,∅,4,l,o,k,6,lau,log6,lo̍k,5loq,ら,く,ら,く,ㄹ,ㅏ,ㄱ
8381,萿,25217,k,uo,∅,4,,,,,,,,,,,,,ㅎ,ㅘ,ㄹ
8382,葀,25218,k,uo,∅,4,,,,,,,,,,,,,ㄱ,ㅘ,ㄹ
8383,葃,25221,z,uo,∅,4,z,ou,∅,6,,,,,,,,,ㅈ,ㅓ,ㄱ
8384,葆,25224,b,ao,∅,3,b,ou,∅,2,,,,,ほ,∅,ほ,う,ㅂ,ㅗ,∅
8385,葇,25225,,,,,,,,,,,,,じゅ,う,,,ㅇ,ㅠ,∅
8386,葉,25227,∅,ye,∅,4,j,i,p,6,ya̍p,,hio̍h,5hhiq,しょ,う,しょ,う,ㅇ,ㅕ,ㅂ
8387,葋,25229,q,u,∅,2,,,,,,,,,,,,,ㄱ,ㅜ,∅
8388,葌,25230,j,ia,n,1,,,,,,,,,,,,,ㄱ,ㅏ,ㄴ
8389,葍,25231,,,,,,,,,,,,,ふ,く,,,ㅂ,ㅗ,ㄱ
8390,葎,25232,l,ü,∅,4,l,eo,t,6,,,,,り,ち,り,つ,ㄹ,ㅠ,ㄹ
8391,葏,25234,j,ia,n,1,,,,,,,,,せ,ん,,,ㅈ,ㅓ,ㄴ
8392,葐,25235,p,e,n,2,p,u,n,4,,,,,,,,,ㅂ,ㅜ,ㄴ
8393,葑,25236,f,e,ng,1,f,u,ng,1,,,,,ほ,う,,,ㅍ,ㅜ,ㅇ
8394,葒,25237,h,o,ng,2,h,u,ng,4,,,,,こ,う,,,ㅎ,ㅗ,ㅇ
8395,葓,25238,h,o,ng,2,,,,,,,,,,,,,ㅎ,ㅗ,ㅇ
8396,葔,25239,h,ou,∅,2,,,,,,,,,,,,,ㅎ,ㅜ,∅
8397,願,25240,∅,yua,n,4,j,yu,n,6,ngien,ngian4,goān,,ご,ん,げ,ん,ㅇ,ㅝ,ㄴ
8398,葖,25242,,,,,,,,,,,,,と,つ,,,ㄷ,ㅗ,ㄹ
8399,著,25243,zh,uo,∅,2,z,oe,k,3,chok,,,4tsaq,じゃ,く,ちゃ,く,ㅈ,ㅓ,∅
8400,葘,25245,,,,,,,,,,,,,し,∅,,,ㅊ,ㅣ,∅
8401,葙,25246,,,,,,,,,,,,,しょ,う,,,ㅅ,ㅏ,ㅇ
8402,葚,25247,sh,e,n,4,s,a,m,6,,,,,ち,ん,,,ㅅ,ㅣ,ㅁ
8403,葛,25248,g,e,∅,2,g,o,t,3,kot,,kat,4keq,か,ち,か,つ,ㄱ,ㅏ,ㄹ
8404,葞,25251,m,i,∅,3,m,ei,∅,5,,,,,,,,,ㅁ,ㅣ,∅
8405,葟,25252,h,ua,ng,2,w,o,ng,4,,,,,こ,う,,,ㅎ,ㅘ,ㅇ
8406,葡,25254,p,u,∅,2,p,ou,∅,4,,,,3bu,ぶ,∅,ほ,∅,ㅍ,ㅗ,∅
8407,董,25256,d,o,ng,3,d,u,ng,2,,,táng,,と,う,,,ㄷ,ㅗ,ㅇ
8408,葤,25257,zh,ou,∅,4,z,au,∅,6,,,,,ちゅ,う,,,ㅈ,ㅗ,∅
8409,葥,25258,q,ia,n,2,z,i,n,3,,,,,せ,ん,,,ㅈ,ㅓ,ㄴ
8410,葦,25259,∅,wei,∅,3,w,ai,∅,5,,,,,い,∅,い,∅,ㅇ,ㅟ,∅
8411,葨,25261,∅,wei,∅,1,,,,,,,,,,,,,ㅇ,ㅚ,∅
8412,葩,25262,p,a,∅,1,b,aa,∅,1,,,a,,へ,∅,は,∅,ㅍ,ㅏ,∅
8413,葫,25264,h,u,∅,2,w,u,∅,4,,,hô͘,,ご,∅,こ,∅,ㅎ,ㅗ,∅
8414,葬,25265,z,a,ng,4,z,o,ng,3,chong,,chòng,,そ,う,そ,う,ㅈ,ㅏ,ㅇ
8415,葭,25266,j,ia,∅,1,g,aa,∅,1,,,ka,,け,∅,か,∅,ㄱ,ㅏ,∅
8416,葯,25268,∅,yao,∅,4,j,oe,k,3,,,,,や,く,,,ㅇ,ㅑ,ㄱ
8417,葰,25269,s,ui,∅,1,s,eoi,∅,1,,,,,す,い,,,ㅈ,ㅜ,ㄴ
8418,葲,25271,q,ua,n,2,,,,,,,,,,,,,ㅊ,ㅓ,ㄴ
8419,葳,25272,,,,,,,,,,,,,い,∅,,,ㅇ,ㅟ,∅
8420,葴,25273,,,,,,,,,,,,,し,ん,,,ㅊ,ㅣ,ㅁ
8421,葵,25274,k,ui,∅,2,kw,ai,∅,4,,,kûi,,ぎ,∅,き,∅,ㄱ,ㅠ,∅
8422,葶,25275,,,,,,,,,,,,,て,い,,,ㅈ,ㅓ,ㅇ
8423,葷,25276,h,u,n,1,f,a,n,1,,,hun,1hun,く,ん,,,ㅎ,ㅜ,ㄴ
8424,葸,25277,,,,,,,,,,,,,さ,い,,,ㅅ,ㅏ,∅
8425,葹,25278,sh,i,∅,1,s,i,∅,1,,,,,せ,∅,し,∅,ㅅ,ㅣ,∅
8426,葺,25279,q,i,∅,4,c,a,p,1,,,,,しゅ,う,,,ㅈ,ㅡ,ㅂ
8427,葻,25280,l,a,n,2,,,,,,,,,,,,,ㄹ,ㅏ,ㅁ
8428,葼,25281,z,o,ng,1,,,,,,,,,そ,う,,,ㅈ,ㅗ,ㅇ
8429,葽,25283,,,,,,,,,,,,,よ,う,,,ㅇ,ㅛ,∅
8430,葿,25285,m,ei,∅,2,,,,,,,,,,,,,ㅁ,ㅣ,∅
8431,蒀,25286,∅,yu,n,1,w,a,n,1,,,,,,,,,ㅇ,ㅗ,ㄴ
8432,蒍,25301,∅,wei,∅,3,w,ai,∅,2,,,,,,,,,ㅇ,ㅟ,∅
8433,蒐,25305,s,ou,∅,1,s,au,∅,1,,,,,しゅ,∅,そ,う,ㅅ,ㅜ,∅
8434,蒒,25307,,,,,,,,,,,,,し,∅,,,ㅅ,ㅏ,∅
8435,蒓,25309,ch,u,n,2,s,eo,n,4,,,,,じゅ,ん,,,ㅅ,ㅜ,ㄴ
8436,蒔,25310,sh,i,∅,4,s,i,∅,6,,,,,し,∅,,,ㅅ,ㅣ,∅
8437,蒖,25313,,,,,,,,,,,,,し,ん,,,ㅈ,ㅣ,ㄴ
8438,蒗,25314,l,a,ng,4,l,o,ng,6,,,,,,,,,ㄹ,ㅏ,ㅇ
8439,蒘,25315,n,a,∅,2,∅,yu,∅,4,,,,,,,,,ㄴ,ㅏ,∅
8440,蒙,25316,m,e,ng,2,m,u,ng,4,,,bông,,む,∅,ぼ,う,ㅁ,ㅗ,ㅇ
8441,蒚,25318,l,i,∅,4,,,,,,,,,,,,,ㄹ,ㅕ,ㄱ
8442,蒛,25319,q,ue,∅,1,k,yu,t,3,,,,,,,,,ㄱ,ㅕ,ㄹ
8443,蒜,25320,s,ua,n,4,s,yu,n,3,son,,soàn,2soe,さ,ん,さ,ん,ㅅ,ㅏ,ㄴ
8444,蒝,25321,∅,yua,n,2,j,yu,n,4,,,,,,,,,ㅇ,ㅝ,ㄴ
