character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
爌	5635874	rising	h	wɑ	ŋ	h	ʷɑ	ŋ	x	uɑ	ŋ	h	wa	ŋ	x	uɑ	ŋ	x	wɑ	ŋ
蹻	5635876	level	ɡ	ˠiᴇu	∅	ɡ	ᵚiɛu	∅	ɡ	iæu	∅	g	iaw	∅	ɡ	jɛu	∅	g	i̯ɛu	∅
爍	5635877	checked	ɕ	ɨɐ	k̚	ɕ	iɐ	k̚	ɕ	iɑ	k̚	ɕ	ɨa	k̚	ɕ	ia	k̚	ɕ	i̯a	k̚
蹼	5635879	checked	p	u	k̚	p	u	k̚	p	u	k̚	p	əw	k̚	p	u	k̚	p	u	k̚
䠣	5635881	departing	s	iuᴇ	n	s	ʷiɛ	n	s	juæ	n	s	wia	n	s	iuɛ	n	s	i̯wɛ	n
爋	5635883	departing	h	ɨu	n	h	iu	n	x	iuə	n	h	u	n	x	iuə	n	x	i̯uə	n
䠧	5635884	level	ɖ	ˠa	∅	ɖ	ᵚa	∅	ȡ	a	∅	ɖ	aɨ	∅	ȡ	a	∅	ȡʱ	a	∅
爐	5635886	level	l	uo	∅	l	uo	∅	l	o	∅	l	ɔ	∅	l	o	∅	l	uo	∅
𨅎	5635887	departing	t͡sʰ	uɑi	∅	t͡sʰ	ʷɑi	∅	t͡sʰ	uɑi	∅	t͡sʰ	waj	∅	t͡sʰ	uɑi	∅	t͡sʰ	uɑi	∅
爒	5635889	rising	l	eu	∅	l	eu	∅	l	eu	∅	l	ɛw	∅	l	eu	∅	l	ieu	∅
𨅔	5635890	level	d͡z	ʌ	m	d͡z	ə	m	d͡z	ɒ	m	d͡z	ə	m	d͡z	ᴀ	m	d͡zʱ	ă	m
𨅗	5635893	checked	p	ˠiɪ	t̚	p	ᵚi	t̚	p	ie	t̚	p	ji	t̚	p	jĕ	t̚	p	i̯ĕ	t̚
爗	5635895	checked	ɦ	ˠiᴇ	p̚	ɦ	ᵚiɛ	p̚	ɣ	iæ	p̚	ɦ	jia	p̚	ɣ	jɛ	p̚	∅	i̯ɛ	p̚
𨅞	5635896	checked	t	ʌ	p̚	t	ə	p̚	t	ɒ	p̚	t	ə	p̚	t	ᴀ	p̚	t	ă	p̚
㸊	5635898	departing	l	ɑi	∅	l	ɑi	∅	l	ɑi	∅	l	aj	∅	l	ɑi	∅	l	ɑi	∅
躁	5635899	departing	t͡s	ɑu	∅	t͡s	ɑu	∅	t͡s	ɑu	∅	t͡s	aw	∅	t͡s	ɑu	∅	t͡s	ɑu	∅
𤑹	5635901	checked	j	iᴇ	k̚	j	iɛ	k̚	∅	iæ	k̚	j	iaj	k̚	∅	iɛ	k̚	∅	i̯ɛ	k̚
躂	5635902	checked	tʰ	ɑ	t̚	tʰ	ɑ	t̚	tʰ	ɑ	t̚	tʰ	a	t̚	tʰ	ɑ	t̚	tʰ	ɑ	t̚
𤒀	5635904	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
躃	5635905	checked	b	iᴇ	k̚	b	iɛ	k̚	b	iæ	k̚	b	iaj	k̚	b	iɛ	k̚	bʱ	i̯ɛ	k̚
爚	5635907	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
躄	5635908	checked	p	iᴇ	k̚	p	iɛ	k̚	p	iæ	k̚	p	iaj	k̚	p	iɛ	k̚	p	i̯ɛ	k̚
爛	5635910	departing	l	ɑ	n	l	ɑ	n	l	ɑ	n	l	a	n	l	ɑ	n	l	ɑ	n
躅	5635911	checked	ɖ	ɨo	k̚	ɖ	io	k̚	ȡ	io	k̚	ɖ	uaw	k̚	ȡ	io	k̚	ȡʱ	i̯wo	k̚
𤒤	5635913	rising	l	iᴇ	n	l	iɛ	n	l	jæ	n	l	ia	n	l	iɛ	n	l	i̯ɛ	n
躇	5635914	level	ɖ	ɨʌ	∅	ɖ	iɔ	∅	ȡ	iɔ	∅	ɖ	ɨə	̆	ȡ	iɔ	∅	ȡʱ	i̯wo	∅
爝	5635916	departing	t͡s	iᴇu	∅	t͡s	iɛu	∅	t͡s	jæu	∅	t͡s	iaw	∅	t͡s	iɛu	∅	t͡s	i̯ɛu	∅
䠨	5635917	departing	t͡ɕʰ	iᴇ	m	t͡ɕʰ	iɛ	m	t͡ɕʰ	jæ	m	cʰ	ia	m	t͡ɕʰ	iɛ	m	t͡ɕʰ	i̯ɛ	m
爞	5635919	level	ɖ	ɨu	ŋ	ɖ	iu	ŋ	ȡ	iu	ŋ	ɖ	uw	ŋ	ȡ	iu	ŋ	ȡʱ	i̯u	ŋ
𨆁	5635920	rising	tʰ	e	n	tʰ	e	n	tʰ	ɛ	n	tʰ	ɛ	n	tʰ	e	n	tʰ	ie	n
爟	5635922	departing	k	uɑ	n	k	ʷɑ	n	k	uɑ	n	k	wa	n	k	uɑ	n	k	uɑ	n
𨆂	5635923	checked	s	ɑ	p̚	s	ɑ	p̚	s	ɑ	p̚	s	a	p̚	s	ɑ	p̚	s	ɑ	p̚
㸎	5635925	checked	ɳ	ˠiᴇ	p̚	ɳ	ᵚiɛ	p̚	n	iæ	p̚	ɳ	jia	p̚	n	jɛ	p̚	n	i̯ɛ	p̚
𨆌	5635926	level	b	ʉɐ	n	b	ʷiɐ	n	b	iuɐ	n	b	ua	n	b	iuɐ	n	bʱ	i̯wɐ	n
𤒻	5635928	checked	d	ɑ	p̚	d	ɑ	p̚	d	ɑ	p̚	d	a	p̚	d	ɑ	p̚	dʱ	ɑ	p̚
躊	5635929	level	ɖ	ɨu	∅	ɖ	iu	∅	ȡ	iəu	∅	ɖ	uw	∅	ȡ	iu	∅	ȡʱ	i̯ə̯u	∅
㸏	5635931	level	m	ˠiᴇ	∅	m	ᵚiɛ	∅	m	iɛ	∅	m	jiə	̆	m	je	∅	m	ie	̯
躋	5635932	level	t͡s	ei	∅	t͡s	ei	∅	t͡s	ɛi	∅	t͡s	ɛj	∅	t͡s	ei	∅	t͡s	iei	∅
𤓉	5635934	level	ȵ	iᴇ	n	ȵ	iɛ	n	ȵʑ	jæ	n	ȵ	ia	n	ȵ	iɛ	n	ȵʑ	i̯ɛ	n
躍	5635935	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
爣	5635937	rising	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ	tʰ	a	ŋ	tʰ	ɑ	ŋ	tʰ	ɑ	ŋ
䠪	5635938	rising	tʰ	uɑ	n	tʰ	ʷɑ	n	tʰ	uɑ	n	tʰ	wa	n	tʰ	uɑ	n	tʰ	uɑ	n
爤	5635940	departing	l	ɑ	n	l	ɑ	n	l	ɑ	n	l	a	n	l	ɑ	n	l	ɑ	n
䠫	5635941	departing	d͡z	əu	∅	d͡z	əu	∅	d͡z	əu	∅	d͡z	əw	∅	d͡z	u	∅	d͡zʱ	ə̯u	∅
爧	5635943	level	l	e	ŋ	l	e	ŋ	l	ɛ	ŋ	l	ɛj	ŋ	l	e	ŋ	l	ie	ŋ
𨆪	5635944	level	kʰ	iᴇ	ŋ	kʰ	iɛ	ŋ	kʰ	iæ	ŋ	kʰ	iaj	ŋ	kʰ	iɛ	ŋ	kʰ	i̯ɛ	ŋ
𤓪	5635946	level	t͡s	iᴇu	∅	t͡s	iɛu	∅	t͡s	jæu	∅	t͡s	iaw	∅	t͡s	iɛu	∅	t͡s	i̯ɛu	∅
𨆫	5635947	departing	ʈ	ˠiɪ	∅	ʈ	ᵚi	∅	ȶ	iɪ	∅	ʈ	ji	∅	ȶ	ji	∅	ȶ	i	∅
爨	5635949	departing	t͡sʰ	uɑ	n	t͡sʰ	ʷɑ	n	t͡sʰ	uɑ	n	t͡sʰ	wa	n	t͡sʰ	uɑ	n	t͡sʰ	uɑ	n
𨆮	5635950	checked	d͡z	iᴇ	k̚	d͡z	iɛ	k̚	d͡z	iæ	k̚	d͡z	iaj	k̚	d͡z	iɛ	k̚	d͡zʱ	i̯ɛ	k̚
𤓫	5635952	departing	z	iuɪ	∅	z	ʷi	∅	z	juɪ	∅	z	wi	∅	z	ui	∅	z	wi	∅
躐	5635953	checked	l	iᴇ	p̚	l	iɛ	p̚	l	jæ	p̚	l	ia	p̚	l	iɛ	p̚	l	i̯ɛ	p̚
爩	5635955	checked	ʔ	ɨu	t̚	ʔ	iu	t̚	ʔ	iuə	t̚	ʔ	u	t̚	ʔ	iuə	t̚	ʔ	i̯uə	t̚
躑	5635956	checked	ɖ	iᴇ	k̚	ɖ	iɛ	k̚	ȡ	iæ	k̚	ɖ	iaj	k̚	ȡ	iɛ	k̚	ȡʱ	i̯ɛ	k̚
爪	5635958	rising	t͡ʃ	ˠau	∅	ʈ͡ʂ	ᵚau	∅	t͡ʃ	au	∅	ʈ͡ʂ	aɨw	∅	t͡ʃ	au	∅	ʈ͡ʂ	au	∅
躒	5635959	checked	l	ɑ	k̚	l	ɑ	k̚	l	ɑ	k̚	l	a	k̚	l	ɑ	k̚	l	ɑ	k̚
𤓯	5635961	rising	t͡ɕ	ɨɐ	ŋ	t͡ɕ	iɐ	ŋ	t͡ɕ	iɑ	ŋ	c	ɨa	ŋ	t͡ɕ	ia	ŋ	t͡ɕ	i̯a	ŋ
躓	5635962	departing	ʈ	ˠiɪ	∅	ʈ	ᵚi	∅	ȶ	iɪ	∅	ʈ	ji	∅	ȶ	ji	∅	ȶ	i	∅
爬	5635964	level	b	ˠa	∅	b	ᵚa	∅	b	a	∅	b	aɨ	∅	b	a	∅	bʱ	a	∅
躔	5635965	level	ɖ	ˠiᴇ	n	ɖ	ᵚiɛ	n	ȡ	iæ	n	ɖ	ia	n	ȡ	jɛ	n	ȡʱ	i̯ɛ	n
爭	5635967	level	t͡ʃ	ˠɛ	ŋ	ʈ͡ʂ	ᵚæ	ŋ	t͡ʃ	ɐ	ŋ	ʈ͡ʂ	əɨj	ŋ	t͡ʃ	ɛ	ŋ	ʈ͡ʂ	æ	ŋ
𨇆	5635968	departing	l	ɑi	∅	l	ɑi	∅	l	ɑi	∅	l	aj	∅	l	ɑi	∅	l	ɑi	∅
㸒	5635970	level	j	iɪ	m	j	i	m	∅	je	m	j	i	m	∅	iə	m	∅	i̯ə	m
躘	5635971	level	l	ɨo	ŋ	l	io	ŋ	l	io	ŋ	l	uaw	ŋ	l	io	ŋ	l	i̯wo	ŋ
爯	5635973	level	t͡ɕʰ	ɨ	ŋ	t͡ɕʰ	ɨ	ŋ	t͡ɕʰ	ie	ŋ	cʰ	i	ŋ	t͡ɕʰ	iə	ŋ	t͡ɕʰ	i̯ə	ŋ
躙	5635974	departing	l	iɪ	n	l	i	n	l	je	n	l	i	n	l	iĕ	n	l	i̯ĕ	n
爰	5635976	level	ɦ	ʉɐ	n	ɦ	ʷiɐ	n	ɣ	iuɐ	n	ɦ	ua	n	ɣ	iuɐ	n	∅	i̯wɐ	n
躚	5635977	level	s	e	n	s	e	n	s	ɛ	n	s	ɛ	n	s	e	n	s	ie	n
𤓾	5635979	departing	t	ɑu	∅	t	ɑu	∅	t	ɑu	∅	t	aw	∅	t	ɑu	∅	t	ɑu	∅
躛	5635980	departing	h	ˠuɛi	∅	h	ʷᵚæi	∅	x	uɐi	∅	h	wəɨj	∅	x	uɛi	∅	x	wăi	∅
𤔌	5635982	departing	ʔ	ɨ	n	ʔ	ɨ	n	ʔ	iə	n	ʔ	ɨ	n	ʔ	iə	n	ʔ	i̯ə	n
𨇙	5635983	departing	k	ˠiuᴇi	∅	k	ʷᵚiei	∅	k	iuæi	∅	k	jwiaj	∅	k	juɛi	∅	k	i̯wɛi	∅
爲	5635985	level	ɦ	ˠiuᴇ	∅	ɦ	ʷᵚiɛ	∅	ɣ	iuɛ	∅	ɦ	jwiə	̆	ɣ	jue	∅	∅	wie	̯
躝	5635986	level	l	ɑ	n	l	ɑ	n	l	ɑ	n	l	a	n	l	ɑ	n	l	ɑ	n
𤔔	5635988	departing	l	uɑ	n	l	ʷɑ	n	l	uɑ	n	l	wa	n	l	uɑ	n	l	uɑ	n
躞	5635989	checked	s	e	p̚	s	e	p̚	s	ɛ	p̚	s	ɛ	p̚	s	e	p̚	s	ie	p̚
𤔣	5635991	departing	b	ɑu	∅	b	ɑu	∅	b	ɑu	∅	b	aw	∅	b	ɑu	∅	bʱ	ɑu	∅
爵	5635994	checked	t͡s	ɨɐ	k̚	t͡s	iɐ	k̚	t͡s	iɑ	k̚	t͡s	ɨa	k̚	t͡s	ia	k̚	t͡s	i̯a	k̚
躠	5635995	checked	s	ɑ	t̚	s	ɑ	t̚	s	ɑ	t̚	s	a	t̚	s	ɑ	t̚	s	ɑ	t̚
父	5635997	rising	p	ɨo	∅	p	io	∅	p	io	∅	p	uə	̆	p	io	∅	p	i̯u	∅
䠯	5635998	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
爸	5636000	rising	b	uɑ	∅	b	uɑ	∅	b	uɑ	∅	b	wa	∅	b	uɑ	∅	bʱ	uɑ	∅
𨇧	5636001	rising	ʈʰ	ɨɐ	m	ʈʰ	iɐ	m	ȶʰ	iɐ	m	ʈʰ	ua	m	ȶʰ	iɐ	m	ȶʰ	i̯wɐ	m
爹	5636003	level	ʈ	ia	∅	ʈ	ia	∅	ȶ	ia	∅	ʈ	ia	∅	ȶ	ia	∅	ȶ	i̯a	∅
𨇨	5636004	checked	s	e	t̚	s	e	t̚	s	ɛ	t̚	s	ɛ	t̚	s	e	t̚	s	ie	t̚
㸙	5636006	level	t͡ɕ	ia	∅	t͡ɕ	ia	∅	t͡ɕ	ia	∅	c	ia	∅	t͡ɕ	ia	∅	t͡ɕ	i̯a	∅
躡	5636007	checked	ɳ	ˠiᴇ	p̚	ɳ	ᵚiɛ	p̚	n	iæ	p̚	ɳ	jia	p̚	n	jɛ	p̚	n	i̯ɛ	p̚
爻	5636009	level	ɦ	ˠau	∅	ɦ	ᵚau	∅	ɣ	au	∅	ɦ	aɨw	∅	ɣ	au	∅	ɣ	au	∅
躢	5636010	checked	d	ɑ	p̚	d	ɑ	p̚	d	ɑ	p̚	d	a	p̚	d	ɑ	p̚	dʱ	ɑ	p̚
㸚	5636012	rising	l	iᴇ	∅	l	iɛ	∅	l	jɛ	∅	l	iə	̆	l	ie	∅	l	ie	̯
躣	5636013	level	ɡ	ɨo	∅	ɡ	io	∅	ɡ	io	∅	g	uə	̆	ɡ	io	∅	g	i̯u	∅
𤕟	5636015	level	ʃ	ɨʌ	∅	ʃ	iɔ	∅	ʃ	iɔ	∅	ʂ	ɨə	̆	ʃ	iɔ	∅	ʂ	i̯wo	∅
躤	5636016	departing	d͡z	ia	∅	d͡z	ia	∅	d͡z	ia	∅	d͡z	ia	∅	d͡z	ia	∅	d͡zʱ	i̯a	∅
爽	5636018	rising	ʃ	ɨɐ	ŋ	ʃ	iɐ	ŋ	ʃ	iɑ	ŋ	ʂ	ɨa	ŋ	ʃ	ia	ŋ	ʂ	i̯a	ŋ
䠰	5636019	level	ɡ	ˠiuᴇ	n	ɡ	ʷᵚiɛ	n	ɡ	iuæ	n	g	wia	n	ɡ	juɛ	n	g	i̯wɛ	n
𤕣	5636021	level	k	ˠiuɪ	∅	k	ʷᵚi	∅	k	iuɪ	∅	k	jwi	∅	k	jui	∅	k	wi	∅
𨇮	5636022	checked	k	ʉɐ	t̚	k	ʷiɐ	t̚	k	iuɐ	t̚	k	ua	t̚	k	iuɐ	t̚	k	i̯wɐ	t̚
𤕤	5636024	rising	ʃ	ɨɐ	ŋ	ʃ	iɐ	ŋ	ʃ	iɑ	ŋ	ʂ	ɨa	ŋ	ʃ	ia	ŋ	ʂ	i̯a	ŋ
𨇯	5636025	level	ʃ	ˠʌ	ŋ	ʃ	ᵚɔ	ŋ	ʃ	ɔ	ŋ	ʂ	aɨw	ŋ	ʃ	ɔ	ŋ	ʂ	ɔ	ŋ
爾	5636027	rising	ȵ	iᴇ	∅	ȵ	iɛ	∅	ȵʑ	jɛ	∅	ȵ	iə	̆	ȵ	ie	∅	ȵʑ	ie	̯
𨇱	5636028	level	p	e	n	p	e	n	p	ɛ	n	p	ɛ	n	p	e	n	p	ie	n
牀	5636030	level	d͡ʒ	ɨɐ	ŋ	ɖ͡ʐ	iɐ	ŋ	d͡ʒ	iɑ	ŋ	ɖ͡ʐ	ɨa	ŋ	d͡ʒ	ia	ŋ	ɖ͡ʐʱ	i̯a	ŋ
躦	5636031	level	d͡z	ɑ	∅	d͡z	ɑ	∅	d͡z	ɑ	∅	d͡z	a	∅	d͡z	ɑ	∅	d͡zʱ	ɑ	∅
牁	5636033	level	k	ɑ	∅	k	ɑ	∅	k	ɑ	∅	k	a	∅	k	ɑ	∅	k	ɑ	∅
躧	5636034	rising	ʃ	ˠiᴇ	∅	ʃ	ᵚiɛ	∅	ʃ	iɛ	∅	ʂ	jiə	̆	ʃ	je	∅	ʂ	ie	̯
㸛	5636036	level	d͡ʑ	iᴇu	∅	d͡ʑ	iɛu	∅	d͡ʑ	jæu	∅	d͡ʑ	iaw	∅	ʑ	iɛu	∅	ʑ	i̯ɛu	∅
𨇻	5636037	rising	m	ˠiᴇ	∅	m	ᵚiɛ	∅	m	iɛ	∅	m	jiə	̆	m	je	∅	m	ie	̯
𤕷	5636039	rising	d	eu	∅	d	eu	∅	d	eu	∅	d	ɛw	∅	d	eu	∅	dʱ	ieu	∅
躩	5636040	checked	k	ʉɐ	k̚	k	ʷiɐ	k̚	k	iuɑ	k̚	k	ua	k̚	k	iua	k̚	k	iwa	k̚
𤕺	5636042	checked	d͡z	iɪ	t̚	d͡z	i	t̚	d͡z	je	t̚	d͡z	i	t̚	d͡z	iĕ	t̚	d͡zʱ	i̯ĕ	t̚
躨	5636043	level	ɡ	ˠiuɪ	∅	ɡ	ʷᵚi	∅	ɡ	iuɪ	∅	g	jwi	∅	ɡ	jui	∅	g	wi	∅
牃	5636045	checked	d	e	p̚	d	e	p̚	d	ɛ	p̚	d	ɛ	p̚	d	e	p̚	dʱ	ie	p̚
𨈈	5636046	checked	d	e	p̚	d	e	p̚	d	ɛ	p̚	d	ɛ	p̚	d	e	p̚	dʱ	ie	p̚
𨈋	5636048	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
牄	5636049	level	t͡sʰ	ɨɐ	ŋ	t͡sʰ	iɐ	ŋ	t͡sʰ	iɑ	ŋ	t͡sʰ	ɨa	ŋ	t͡sʰ	ia	ŋ	t͡sʰ	i̯a	ŋ
牆	5636051	level	d͡z	ɨɐ	ŋ	d͡z	iɐ	ŋ	d͡z	iɑ	ŋ	d͡z	ɨa	ŋ	d͡z	ia	ŋ	d͡zʱ	i̯a	ŋ
身	5636052	level	ɕ	iɪ	n	ɕ	i	n	ɕ	je	n	ɕ	i	n	ɕ	iĕ	n	ɕ	i̯ĕ	n
𤖟	5636054	checked	p	ˠɛ	k̚	p	ᵚæ	k̚	p	ɐ	k̚	p	əɨj	k̚	p	ɛ	k̚	p	æ	k̚
躬	5636055	level	k	ɨu	ŋ	k	iu	ŋ	k	iu	ŋ	k	uw	ŋ	k	iu	ŋ	k	i̯u	ŋ
片	5636057	departing	pʰ	e	n	pʰ	e	n	pʰ	ɛ	n	pʰ	ɛ	n	pʰ	e	n	pʰ	ie	n
𨈚	5636058	level	b	iɪ	∅	b	i	∅	b	jɪ	∅	b	i	∅	b	i	∅	bʱ	i	∅
版	5636060	rising	p	ˠa	n	p	ᵚa	n	p	ɐ	n	p	aɨ	n	p	a	n	p	a	n
𨈛	5636061	level	t͡ɕ	iᴇ	∅	t͡ɕ	iɛ	∅	t͡ɕ	jɛ	∅	c	iə	̆	t͡ɕ	ie	∅	t͡ɕ	ie	̯
牉	5636063	departing	pʰ	uɑ	n	pʰ	ʷɑ	n	pʰ	uɑ	n	pʰ	wa	n	pʰ	uɑ	n	pʰ	uɑ	n
䠵	5636064	departing	b	ɨo	∅	b	io	∅	b	io	∅	b	uə	̆	b	io	∅	bʱ	i̯u	∅
𤖱	5636066	level	ɦ	uɑ	∅	ɦ	uɑ	∅	ɣ	uɑ	∅	ɦ	wa	∅	ɣ	uɑ	∅	ɣ	uɑ	∅
䠶	5636067	departing	ʑ	ia	∅	ʑ	ia	∅	ʑ	ia	∅	ʑ	ia	∅	d͡ʑ	ia	∅	d͡ʑʰ	i̯a	∅
𤖴	5636069	checked	ʈʰ	ˠæ	k̚	ʈʰ	ᵚa	k̚	ȶʰ	a	k̚	ʈʰ	aɨj	k̚	ȶʰ	ɐ	k̚	ȶʰ	ɐ	k̚
𨈭	5636070	level	tʰ	ɑ	m	tʰ	ɑ	m	tʰ	ɑ	m	tʰ	a	m	tʰ	ɑ	m	tʰ	ɑ	m
㸡	5636072	level	d͡ʑ	ɨo	∅	d͡ʑ	io	∅	d͡ʑ	io	∅	d͡ʑ	uə	̆	ʑ	io	∅	ʑ	i̯u	∅
䠷	5636073	rising	tʰ	eu	∅	tʰ	eu	∅	tʰ	eu	∅	tʰ	ɛw	∅	tʰ	eu	∅	tʰ	ieu	∅
𤖻	5636075	level	ɡ	iᴇu	∅	ɡ	iɛu	∅	ɡ	jæu	∅	g	iaw	∅	ɡ	iɛu	∅	g	i̯ɛu	∅
䠸	5636076	level	kʰ	ˠua	∅	kʰ	ʷᵚa	∅	kʰ	ua	∅	kʰ	waɨ	∅	kʰ	ua	∅	kʰ	wa	∅
𤖼	5636078	checked	pʰ	ˠæ	k̚	pʰ	ᵚa	k̚	pʰ	a	k̚	pʰ	aɨj	k̚	pʰ	ɐ	k̚	pʰ	ɐ	k̚
躳	5636079	level	k	ɨu	ŋ	k	iu	ŋ	k	iu	ŋ	k	uw	ŋ	k	iu	ŋ	k	i̯u	ŋ
𤗁	5636081	checked	t͡sʰ	ɨo	k̚	t͡sʰ	io	k̚	t͡sʰ	io	k̚	t͡sʰ	uaw	k̚	t͡sʰ	io	k̚	t͡sʰ	i̯wo	k̚
躴	5636082	level	l	ɑ	ŋ	l	ɑ	ŋ	l	ɑ	ŋ	l	a	ŋ	l	ɑ	ŋ	l	ɑ	ŋ
牋	5636084	level	t͡s	e	n	t͡s	e	n	t͡s	ɛ	n	t͡s	ɛ	n	t͡s	e	n	t͡s	ie	n
躶	5636085	rising	l	uɑ	∅	l	uɑ	∅	l	uɑ	∅	l	wa	∅	l	uɑ	∅	l	uɑ	∅
牌	5636087	level	b	ˠɛ	∅	b	ᵚæ	∅	b	æi	∅	b	aɨj	∅	b	ɛ	∅	bʱ	ai	∅
躷	5636088	rising	ʔ	ˠɛ	∅	ʔ	ᵚæ	∅	ʔ	æi	∅	ʔ	aɨj	∅	ʔ	ɛ	∅	ʔ	ai	∅
𤗇	5636090	departing	kʰ	u	ŋ	kʰ	u	ŋ	kʰ	u	ŋ	kʰ	əw	ŋ	kʰ	u	ŋ	kʰ	u	ŋ
躸	5636091	level	k	ˠiᴇ	∅	k	ᵚiɛ	∅	k	iɛ	∅	k	jiə	̆	k	je	∅	k	ie	̯
𤗈	5636093	checked	s	e	p̚	s	e	p̚	s	ɛ	p̚	s	ɛ	p̚	s	e	p̚	s	ie	p̚
䠻	5636094	departing	kʰ	ɨu	ŋ	kʰ	iu	ŋ	kʰ	iu	ŋ	kʰ	uw	ŋ	kʰ	iu	ŋ	kʰ	i̯u	ŋ
𤗍	5636096	rising	ʔ	ʉɐ	n	ʔ	ʷiɐ	n	ʔ	iuɐ	n	ʔ	ua	n	ʔ	iuɐ	n	ʔ	i̯wɐ	n
躽	5636097	rising	ʔ	e	n	ʔ	e	n	ʔ	ɛ	n	ʔ	ɛ	n	ʔ	e	n	ʔ	ie	n
𤗎	5636099	rising	ʔ	ˠiᴇ	m	ʔ	ᵚiɛ	m	ʔ	iæ	m	ʔ	jia	m	ʔ	jɛ	m	ʔ	i̯ɛ	m
䠼	5636100	departing	ɕ	ɨo	∅	ɕ	io	∅	ɕ	io	∅	ɕ	uə	̆	ɕ	io	∅	ɕ	i̯u	∅
𤗏	5636102	level	b	uʌi	∅	b	uoi	∅	b	uɒi	∅	b	wəj	∅	b	uᴀi	∅	bʱ	uɑ̆i	∅
𨉢	5636103	departing	ɖ	ɨo	ŋ	ɖ	io	ŋ	ȡ	io	ŋ	ɖ	uaw	ŋ	ȡ	io	ŋ	ȡʱ	i̯wo	ŋ
牎	5636105	level	t͡ʃʰ	ˠʌ	ŋ	ʈ͡ʂʰ	ᵚɔ	ŋ	t͡ʃʰ	ɔ	ŋ	ʈ͡ʂʰ	aɨw	ŋ	t͡ʃʰ	ɔ	ŋ	ʈ͡ʂʰ	ɔ	ŋ
躿	5636106	level	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ	kʰ	a	ŋ	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ
牏	5636108	level	j	ɨo	∅	j	io	∅	∅	io	∅	j	uə	̆	∅	io	∅	∅	i̯u	∅
䠽	5636109	level	ɦ	ʌi	∅	ɦ	əi	∅	ɣ	ɒi	∅	ɦ	əj	∅	ɣ	ᴀi	∅	ɣ	ɑ̆i	∅
牐	5636112	checked	d͡ʒ	ˠɛ	p̚	ɖ͡ʐ	ᵚæ	p̚	d͡ʒ	ɐ	p̚	ɖ͡ʐ	əɨ	p̚	d͡ʒ	ɐ	p̚	ɖ͡ʐʱ	ă	p̚
軀	5636113	level	kʰ	ɨo	∅	kʰ	io	∅	kʰ	io	∅	kʰ	uə	̆	kʰ	io	∅	kʰ	i̯u	∅
牑	5636115	level	p	e	n	p	e	n	p	ɛ	n	p	ɛ	n	p	e	n	p	ie	n
軄	5636116	checked	t͡ɕ	ɨ	k̚	t͡ɕ	ɨ	k̚	t͡ɕ	ie	k̚	c	i	k̚	t͡ɕ	iə	k̚	t͡ɕ	i̯ə	k̚
牒	5636118	checked	d	e	p̚	d	e	p̚	d	ɛ	p̚	d	ɛ	p̚	d	e	p̚	dʱ	ie	p̚
軆	5636119	rising	tʰ	ei	∅	tʰ	ei	∅	tʰ	ɛi	∅	tʰ	ɛj	∅	tʰ	ei	∅	tʰ	iei	∅
𤗚	5636121	checked	pʰ	ɨ	k̚	pʰ	ɨ	k̚	pʰ	ie	k̚	pʰ	i	k̚	pʰ	iə	k̚	pʰ	i̯ə	k̚
䡀	5636122	rising	t͡ɕ	iᴇ	n	t͡ɕ	iɛ	n	t͡ɕ	jæ	n	c	ia	n	t͡ɕ	iɛ	n	t͡ɕ	i̯ɛ	n
𤗛	5636124	departing	l	e	n	l	e	n	l	ɛ	n	l	ɛ	n	l	e	n	l	ie	n
車	5636125	level	k	ɨʌ	∅	k	iɔ	∅	k	iɔ	∅	k	ɨə	̆	k	iɔ	∅	k	i̯wo	∅
牓	5636127	rising	p	ɑ	ŋ	p	ɑ	ŋ	p	ɑ	ŋ	p	a	ŋ	p	ɑ	ŋ	p	ɑ	ŋ
軋	5636128	checked	ʔ	ˠɛ	t̚	ʔ	ᵚæ	t̚	ʔ	æ	t̚	ʔ	əɨ	t̚	ʔ	ɛ	t̚	ʔ	a	t̚
㸢	5636130	departing	b	ˠiɪ	∅	b	ᵚi	∅	b	iɪ	∅	b	ji	∅	b	ji	∅	bʱ	i	∅
