character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
鑽	5639120	level	t͡s	uɑ	n	t͡s	ʷɑ	n	t͡s	uɑ	n	t͡s	wa	n	t͡s	uɑ	n	t͡s	uɑ	n
𥀈	5639121	checked	t͡ʃ	ˠɛ	p̚	ʈ͡ʂ	ᵚæ	p̚	t͡ʃ	ɐ	p̚	ʈ͡ʂ	əɨ	p̚	t͡ʃ	ɐ	p̚	ʈ͡ʂ	ă	p̚
鑛	5639122	rising	k	ˠwæ	ŋ	k	ʷᵚa	ŋ	k	ua	ŋ	k	waɨj	ŋ	k	uɐ	ŋ	k	wɐ	ŋ
皺	5639123	departing	t͡ʃ	ɨu	∅	ʈ͡ʂ	iu	∅	t͡ʃ	iəu	∅	ʈ͡ʂ	uw	∅	t͡ʃ	iu	∅	ʈ͡ʂ	i̯ə̯u	∅
鑞	5639124	checked	l	ɑ	p̚	l	ɑ	p̚	l	ɑ	p̚	l	a	p̚	l	ɑ	p̚	l	ɑ	p̚
鑠	5639125	checked	ɕ	ɨɐ	k̚	ɕ	iɐ	k̚	ɕ	iɑ	k̚	ɕ	ɨa	k̚	ɕ	ia	k̚	ɕ	i̯a	k̚
㿷	5639126	departing	t͡ʃʰ	ˠiuɪ	∅	ʈ͡ʂʰ	ʷᵚi	∅	t͡ʃʰ	iuɪ	∅	ʈ͡ʂʰ	jwi	∅	t͡ʃʰ	jui	∅	ʈ͡ʂʰ	wi	∅
鑢	5639127	departing	l	ɨʌ	∅	l	iɔ	∅	l	iɔ	∅	l	ɨə	̆	l	iɔ	∅	l	i̯wo	∅
𥀍	5639128	level	p	ˠiᴇ	∅	p	ᵚiɛ	∅	p	iɛ	∅	p	jiə	̆	p	je	∅	p	ie	̯
皻	5639129	level	t͡ʃ	ˠa	∅	ʈ͡ʂ	ᵚa	∅	t͡ʃ	a	∅	ʈ͡ʂ	aɨ	∅	t͡ʃ	a	∅	ʈ͡ʂ	a	∅
